# Particle velocities at the initial measurement
# Index    vx          vy          vz
       0  -0.0911764      -2.325   -0.182353
       1  -0.0911764     2.59853   -0.182353
       2    -2.55294    0.136765   -0.182353
       3  -0.0911764    0.136765     2.27941
       4  -0.0911764    0.136765    -2.64411
       5  -0.0911764      -2.325   -0.182353
       6  -0.0911764    0.136765    -2.64411
       7    -2.55294    0.136765   -0.182353
       8     2.37059    0.136765   -0.182353
       9  -0.0911764      -2.325   -0.182353
      10     2.37059    0.136765   -0.182353
      11    -2.55294    0.136765   -0.182353
      12  -0.0911764     2.59853   -0.182353
      13  -0.0911764    0.136765    -2.64411
      14  -0.0911764    0.136765    -2.64411
      15  -0.0911764     2.59853   -0.182353
      16     2.37059    0.136765   -0.182353
      17  -0.0911764      -2.325   -0.182353
      18  -0.0911764      -2.325   -0.182353
      19     2.37059    0.136765   -0.182353
      20     2.37059    0.136765   -0.182353
      21     2.37059    0.136765   -0.182353
      22    -2.55294    0.136765   -0.182353
      23  -0.0911764      -2.325   -0.182353
      24  -0.0911764      -2.325   -0.182353
      25  -0.0911764    0.136765    -2.64411
      26  -0.0911764    0.136765     2.27941
      27  -0.0911764     2.59853   -0.182353
      28  -0.0911764    0.136765    -2.64411
      29  -0.0911764    0.136765     2.27941
      30  -0.0911764     2.59853   -0.182353
      31  -0.0911764      -2.325   -0.182353
      32  -0.0911764      -2.325   -0.182353
      33  -0.0911764      -2.325   -0.182353
      34    -2.55294    0.136765   -0.182353
      35    -2.55294    0.136765   -0.182353
      36  -0.0911764    0.136765    -2.64411
      37    -2.55294    0.136765   -0.182353
      38  -0.0911764    0.136765    -2.64411
      39  -0.0911764      -2.325   -0.182353
      40  -0.0911764     2.59853   -0.182353
      41  -0.0911764     2.59853   -0.182353
      42    -2.55294    0.136765   -0.182353
      43  -0.0911764      -2.325   -0.182353
      44  -0.0911764    0.136765     2.27941
      45  -0.0911764    0.136765     2.27941
      46  -0.0911764    0.136765     2.27941
      47  -0.0911764    0.136765     2.27941
      48     2.37059    0.136765   -0.182353
      49  -0.0911764    0.136765     2.27941
      50     2.37059    0.136765   -0.182353
      51     2.37059    0.136765   -0.182353
      52  -0.0911764    0.136765     2.27941
      53  -0.0911764    0.136765    -2.64411
      54    -2.55294    0.136765   -0.182353
      55  -0.0911764     2.59853   -0.182353
      56    -2.55294    0.136765   -0.182353
      57     2.37059    0.136765   -0.182353
      58     2.37059    0.136765   -0.182353
      59     2.37059    0.136765   -0.182353
      60    -2.55294    0.136765   -0.182353
      61  -0.0911764    0.136765     2.27941
      62     2.37059    0.136765   -0.182353
      63  -0.0911764    0.136765     2.27941
      64  -0.0911764     2.59853   -0.182353
      65  -0.0911764    0.136765    -2.64411
      66  -0.0911764    0.136765     2.27941
      67  -0.0911764     2.59853   -0.182353
      68  -0.0911764     2.59853   -0.182353
      69  -0.0911764      -2.325   -0.182353
      70  -0.0911764    0.136765    -2.64411
      71    -2.55294    0.136765   -0.182353
      72     2.37059    0.136765   -0.182353
      73  -0.0911764     2.59853   -0.182353
      74  -0.0911764    0.136765     2.27941
      75  -0.0911764      -2.325   -0.182353
      76  -0.0911764    0.136765     2.27941
      77  -0.0911764     2.59853   -0.182353
      78    -2.55294    0.136765   -0.182353
      79  -0.0911764    0.136765    -2.64411
      80  -0.0911764    0.136765    -2.64411
      81  -0.0911764    0.136765    -2.64411
      82  -0.0911764    0.136765     2.27941
      83     2.37059    0.136765   -0.182353
      84     2.37059    0.136765   -0.182353
      85  -0.0911764    0.136765     2.27941
      86  -0.0911764    0.136765     2.27941
      87  -0.0911764      -2.325   -0.182353
      88  -0.0911764      -2.325   -0.182353
      89     2.37059    0.136765   -0.182353
      90  -0.0911764    0.136765     2.27941
      91  -0.0911764    0.136765     2.27941
      92  -0.0911764      -2.325   -0.182353
      93  -0.0911764      -2.325   -0.182353
      94     2.37059    0.136765   -0.182353
      95  -0.0911764    0.136765     2.27941
      96    -2.55294    0.136765   -0.182353
      97  -0.0911764      -2.325   -0.182353
      98  -0.0911764     2.59853   -0.182353
      99  -0.0911764      -2.325   -0.182353
     100  -0.0911764    0.136765     2.27941
     101     2.37059    0.136765   -0.182353
     102  -0.0911764     2.59853   -0.182353
     103    -2.55294    0.136765   -0.182353
     104  -0.0911764      -2.325   -0.182353
     105  -0.0911764     2.59853   -0.182353
     106  -0.0911764      -2.325   -0.182353
     107  -0.0911764    0.136765     2.27941
