#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.20568     3.20568           0
           2     3.23702     3.22135   0.0110816
           3     3.27791     3.24021   0.0170744
           4     3.26847     3.24727   0.0141931
           5     3.31634     3.26109   0.0167797
           6     3.31784     3.27054   0.0164342
           7     3.28702      3.2729    0.014254
           8     3.28411      3.2743   0.0125409
           9     3.30211     3.27739    0.011522
          10     3.28425     3.27808   0.0103902
          11     3.30469     3.28049  0.00972324
          12     3.29763     3.28192  0.00901716
          13     3.29899     3.28323  0.00841854
          14     3.28966     3.28369  0.00782972
          15      3.2885     3.28401  0.00731431
          16     3.29345      3.2846  0.00688087
          17     3.29712     3.28534  0.00651539
          18       3.321     3.28732  0.00644757
          19      3.3349     3.28983  0.00657654
          20     3.29029     3.28985  0.00624775
          21      3.2548     3.28818  0.00616917
          22     3.28281     3.28794  0.00589359
          23      3.2604     3.28674  0.00575767
          24     3.27376      3.2862  0.00554312
          25     3.28119       3.286    0.005325
          26     3.29761     3.28644  0.00513888
          27     3.28331     3.28633  0.00494987
          28      3.2975     3.28673  0.00478916
          29     3.30704     3.28743  0.00467496
          30     3.30605     3.28805  0.00456014
          31     3.33681     3.28962  0.00467652
          32     3.33039     3.29089  0.00470073
          33     3.30217     3.29124  0.00457069
          34     3.31552     3.29195  0.00449171
          35     3.32569     3.29291  0.00446561
          36     3.30465     3.29324  0.00435344
          37     3.28424       3.293  0.00424257
          38     3.25529     3.29201  0.00424538
          39     3.26751     3.29138  0.00418274
          40     3.29884     3.29156  0.00408233
