#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
           1    0.113199     0.06525           0
           1    0.339598      0.4265           0
           1    0.565997     1.65875           0
           1    0.792396     1.88275           0
           1      1.0188       1.154           0
           1     1.24519     2.06175           0
           1     1.47159     2.99925           0
           1     1.69799       7.803           0
           1     1.92439     5.59875           0
           1     2.15079      7.3775           0
           1     2.37719      28.254           0
           1     2.60359     23.3665           0
           1     2.82999     8.44325           0
           1     3.05639       4.045           0
           1     3.28278     3.33975           0
           1     3.50918       2.696           0
           1     3.73558     2.54925           0
           1     3.96198     1.36775           0
           1     4.18838     1.56175           0
           1     4.41478     0.87775           0
           1     4.64118       0.252           0
           1     4.86758     0.18475           0
           1     5.09398     0.03475           0
           1     5.32037           0           0
           1     5.54677           0           0
           1     5.77317           0           0
           1     5.99957           0           0
           1     6.22597           0           0
           1     6.45237           0           0
           1     6.67877           0           0
           2    0.113199    0.133625   0.0483484
           2    0.339598    0.680125     0.17934
           2    0.565997      1.7005   0.0295217
           2    0.792396     3.74525     1.31699
           2      1.0188     3.45213     1.62502
           2     1.24519     4.43275     1.67655
           2     1.47159      4.7735     1.25458
           2     1.69799     8.44112    0.451223
           2     1.92439     6.65813    0.749091
           2     2.15079     8.55063    0.829525
           2     2.37719     19.0261     6.52509
           2     2.60359     16.8229     4.62704
           2     2.82999     7.93913     0.35647
           2     3.05639     4.13012   0.0601925
           2     3.28278      4.6915    0.955832
           2     3.50918      3.0165    0.226628
           2     3.73558     2.90437    0.251111
           2     3.96198     1.84075    0.334462
           2     4.18838       2.307    0.526971
           2     4.41478     0.89325   0.0109602
           2     4.64118    0.638375    0.273208
           2     4.86758    0.360125    0.124009
           2     5.09398       0.507    0.333931
           2     5.32037    0.168125    0.118882
           2     5.54677    0.159875    0.113049
           2     5.77317    0.027125   0.0191803
           2     5.99957           0           0
           2     6.22597           0           0
           2     6.45237           0           0
           2     6.67877           0           0
           3    0.113199    0.100417   0.0421203
           3    0.339598    0.757167    0.135098
           3    0.565997     1.81208   0.0932089
           3    0.792396      3.8305    0.880746
           3      1.0188     3.94008     1.15429
