#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.238453   -0.238453           0
           2   -0.269861   -0.254157   0.0111044
           3    -0.31071   -0.273008   0.0170795
           4    -0.30131   -0.280084   0.0141998
           5   -0.349144   -0.293896   0.0167829
           6   -0.350737   -0.303369   0.0164436
           7   -0.319755    -0.30571   0.0142601
           8   -0.316936   -0.307113   0.0125465
           9   -0.334993   -0.310211   0.0115285
          10    -0.31717   -0.310907   0.0103966
          11   -0.337514   -0.313326  0.00972879
          12    -0.33056   -0.314762  0.00902344
          13   -0.331924   -0.316082  0.00842535
          14   -0.322571   -0.316546  0.00783628
          15   -0.321318   -0.316864  0.00732032
          16   -0.326243    -0.31745  0.00688623
          17    -0.33012   -0.318195  0.00652136
          18   -0.353915    -0.32018  0.00645394
          19   -0.367791   -0.322686  0.00658277
          20   -0.323113   -0.322707  0.00625367
          21   -0.287623   -0.321036    0.006175
          22   -0.315631   -0.320791   0.0058992
          23   -0.293221   -0.319592  0.00576321
          24   -0.306617   -0.319051  0.00554837
          25   -0.314085   -0.318853  0.00532999
          26   -0.330406   -0.319297  0.00514349
          27   -0.316181   -0.319182  0.00495428
          28   -0.330341    -0.31958  0.00479334
          29   -0.339887    -0.32028  0.00467892
          30   -0.338887   -0.320901  0.00456388
          31   -0.369802   -0.322478  0.00468134
          32   -0.363217   -0.323751  0.00470497
          33   -0.335046   -0.324093  0.00457483
          34   -0.348422   -0.324809  0.00449589
          35   -0.358586   -0.325774  0.00446981
          36   -0.337494     -0.3261  0.00435749
          37   -0.317078   -0.325856  0.00424654
          38   -0.288093   -0.324862  0.00424947
          39   -0.300376   -0.324234  0.00418663
          40    -0.33167    -0.32442  0.00408609
