#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.13712     2.13712           0
           2     2.15802     2.14757  0.00738776
           3     2.18527     2.16014   0.0113829
           4     2.17898     2.16485  0.00946207
           5     2.21089     2.17406   0.0111865
           6     2.21189     2.18036   0.0109562
           7     2.19135     2.18193  0.00950267
           8      2.1894     2.18287  0.00836061
           9     2.20141     2.18493  0.00768132
          10      2.1895     2.18538  0.00692679
          11     2.20313       2.187  0.00648216
          12     2.19842     2.18795  0.00601144
          13     2.19932     2.18882  0.00561236
          14     2.19311     2.18913  0.00521982
          15     2.19234     2.18934   0.0048762
          16     2.19563     2.18974  0.00458725
          17     2.19808     2.19023  0.00434359
          18       2.214     2.19155  0.00429838
          19     2.22327     2.19322  0.00438436
          20     2.19353     2.19323  0.00416517
          21     2.16986     2.19212  0.00411278
          22     2.18854     2.19196  0.00392906
          23      2.1736     2.19116  0.00383845
          24      2.1825      2.1908  0.00369541
          25     2.18746     2.19066     0.00355
          26      2.1984     2.19096  0.00342592
          27     2.18887     2.19088  0.00329991
          28     2.19834     2.19115  0.00319277
          29     2.20469     2.19162  0.00311664
          30     2.20403     2.19203  0.00304009
          31     2.22454     2.19308  0.00311768
          32     2.22026     2.19393  0.00313382
          33     2.20145     2.19416  0.00304713
          34     2.21035     2.19463  0.00299448
          35     2.21713     2.19528  0.00297707
          36      2.2031     2.19549   0.0029023
          37     2.18949     2.19533  0.00282838
          38     2.17019     2.19467  0.00283025
          39     2.17834     2.19425  0.00278849
          40     2.19923     2.19438  0.00272155
