#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.96723     2.96723           0
           2     2.96716      2.9672 2.27704e-05
           3      2.9672      2.9672 1.52603e-05
           4     2.96716     2.96719 1.35821e-05
           5     2.96719     2.96719 1.08777e-05
           6      2.9671     2.96717 1.62148e-05
           7     2.96726     2.96719 1.81381e-05
           8     2.96717     2.96719 1.59946e-05
           9     2.96712     2.96718 1.57965e-05
          10     2.96708     2.96717 1.70765e-05
          11     2.96718     2.96717 1.55365e-05
          12     2.96707     2.96716 1.64699e-05
          13     2.96706     2.96715 1.68176e-05
          14     2.96709     2.96715 1.61666e-05
          15     2.96719     2.96715  1.5282e-05
          16      2.9672     2.96715 1.46725e-05
          17       2.967     2.96715 1.63435e-05
          18     2.96708     2.96714 1.57818e-05
          19     2.96711     2.96714  1.5048e-05
          20     2.96718     2.96714 1.44023e-05
          21     2.96717     2.96714 1.37968e-05
          22     2.96718     2.96714 1.32493e-05
          23     2.96718     2.96715 1.27471e-05
          24     2.96714     2.96715 1.22189e-05
          25     2.96711     2.96714  1.1818e-05
          26      2.9672     2.96715  1.1558e-05
          27     2.96712     2.96715 1.11599e-05
          28     2.96716     2.96715 1.07796e-05
          29     2.96715     2.96715 1.04104e-05
          30     2.96716     2.96715 1.00731e-05
          31     2.96701     2.96714 1.06367e-05
          32     2.96718     2.96714 1.03527e-05
          33     2.96713     2.96714 1.00527e-05
          34      2.9671     2.96714 9.84404e-06
          35      2.9671     2.96714 9.63143e-06
          36     2.96716     2.96714 9.37326e-06
          37     2.96716     2.96714 9.13769e-06
          38      2.9672     2.96714 9.01548e-06
          39     2.96713     2.96714 8.78901e-06
          40     2.96717     2.96714 8.60211e-06
