#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.45624     2.45624           0
           2     2.07534     2.26579     0.13467
           3     2.03534     2.18897    0.109519
           4     2.02054     2.14686   0.0898696
           5     2.01995     2.12148   0.0753949
           6     2.06955     2.11283    0.063324
           7     2.01038     2.09819   0.0559434
           8     2.03071     2.08976   0.0495822
           9     1.99368     2.07908   0.0452076
          10     1.97717     2.06889   0.0418197
          11     1.95872     2.05887   0.0391989
          12     1.96391     2.05096   0.0367224
          13      2.0046      2.0474   0.0340703
          14     1.98608     2.04302    0.031917
          15     1.99332      2.0397   0.0299607
          16     2.01351     2.03807   0.0281328
          17     1.96838     2.03397   0.0267749
          18     1.96969      2.0304   0.0255244
          19      1.9846     2.02799   0.0242946
          20     1.98215     2.02569   0.0231877
          21     1.97532     2.02329   0.0222072
          22     1.97672     2.02118   0.0212985
          23     1.95687     2.01838   0.0205552
          24     1.97699     2.01666    0.019771
          25     1.95144     2.01405   0.0191514
          26     1.94503     2.01139   0.0185979
          27     1.95291     2.00923   0.0180348
          28     1.96249     2.00756   0.0174678
          29     2.02012     2.00799   0.0168708
          30     1.95927     2.00637   0.0163865
          31     1.99141     2.00588    0.015865
          32      1.9762     2.00496   0.0153963
          33     1.97687     2.00411   0.0149532
          34     1.93929      2.0022   0.0146344
          35     1.96901     2.00125    0.014247
          36     1.97208     2.00044   0.0138743
          37     1.93949     1.99879   0.0135968
          38     2.03361     1.99971   0.0132698
          39     2.03898     2.00072   0.0129677
          40      2.0714     2.00248   0.0127633
