#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
           1    0.113199      0.2075           0
           1    0.339598     0.96375           0
           1    0.565997     3.16675           0
           1    0.792396     4.08275           0
           1      1.0188     5.88425           0
           1     1.24519      8.2475           0
           1     1.47159     10.5685           0
           1     1.69799     12.1695           0
           1     1.92439     11.7837           0
           1     2.15079     11.0548           0
           1     2.37719     9.96375           0
           1     2.60359     8.00575           0
           1     2.82999     6.29075           0
           1     3.05639      5.1565           0
           1     3.28278     3.06275           0
           1     3.50918       2.766           0
           1     3.73558        1.75           0
           1     3.96198       1.259           0
           1     4.18838     0.54625           0
           1     4.41478      0.2405           0
           1     4.64118      0.0795           0
           1     4.86758     0.42625           0
           1     5.09398     0.22325           0
           1     5.32037     0.10075           0
           1     5.54677           0           0
           1     5.77317           0           0
           1     5.99957           0           0
           1     6.22597           0           0
           1     6.45237           0           0
           1     6.67877           0           0
           2    0.113199    0.159625   0.0338527
           2    0.339598     1.17588    0.149995
           2    0.565997     3.02438    0.100674
           2    0.792396     4.61913    0.379274
           2      1.0188     7.02612    0.807428
           2     1.24519     9.91563     1.17954
           2     1.47159     12.3102      1.2316
           2     1.69799     12.6601    0.346924
           2     1.92439     11.4422    0.241477
           2     2.15079     11.1843   0.0915703
           2     2.37719     8.68938    0.901119
           2     2.60359     7.54588    0.325181
           2     2.82999     5.31137    0.692523
           2     3.05639     4.45288    0.497538
           2     3.28278      2.6125    0.318375
           2     3.50918     2.09362    0.475441
           2     3.73558     1.16975    0.410299
           2     3.96198     1.14463   0.0808753
           2     4.18838     0.33275    0.150967
           2     4.41478     0.20675   0.0238649
           2     4.64118     0.04775   0.0224506
           2     4.86758     0.68675    0.184201
           2     5.09398       0.138   0.0602809
           2     5.32037    0.050375   0.0356205
           2     5.54677           0           0
           2     5.77317           0           0
           2     5.99957           0           0
           2     6.22597           0           0
           2     6.45237           0           0
           2     6.67877           0           0
           3    0.113199    0.237333   0.0673429
           3    0.339598     1.31558    0.151696
           3    0.565997     3.11317   0.0987955
           3    0.792396     4.75525      0.2762
           3      1.0188     7.88767    0.885769
           3     1.24519     11.4359     1.46943
           3     1.47159     12.0099    0.856906
           3     1.69799     12.6991     0.23346
           3     1.92439     11.7677    0.310666
           3     2.15079     10.0645    0.916308
           3     2.37719     8.14033    0.749573
           3     2.60359     7.01633    0.483673
           3     2.82999     5.13392    0.483885
           3     3.05639     4.21033    0.386312
           3     3.28278     2.70242    0.224589
           3     3.50918     1.78617    0.404332
           3     3.73558     1.17192    0.273538
           3     3.96198     1.04592   0.0969669
           3     4.18838       0.537    0.194786
           3     4.41478    0.149833   0.0491202
           3     4.64118     0.09875   0.0442495
           3     4.86758    0.572833     0.15405
           3     5.09398    0.114583   0.0445036
           3     5.32037   0.0335833   0.0274207
           3     5.54677           0           0
           3     5.77317           0           0
           3     5.99957           0           0
           3     6.22597           0           0
           3     6.45237           0           0
           3     6.67877           0           0
           4    0.113199    0.314125   0.0835086
           4    0.339598     1.49331    0.191402
           4    0.565997       3.338    0.208333
           4    0.792396      5.2575     0.48177
           4      1.0188     8.40956      0.8035
           4     1.24519     11.4819     1.10279
           4     1.47159     11.9951    0.642807
           4     1.69799     12.5033    0.243727
           4     1.92439     11.1495    0.583855
           4     2.15079       10.08    0.687362
           4     2.37719     7.76262    0.650418
           4     2.60359     6.76856    0.421466
           4     2.82999     4.91694    0.408676
           4     3.05639      4.0095     0.33793
           4     3.28278     2.98981    0.300533
           4     3.50918     2.10206    0.408415
           4     3.73558     1.29875    0.232708
           4     3.96198      0.8815    0.159886
           4     4.18838    0.449562    0.164548
           4     4.41478    0.124625   0.0428228
           4     4.64118    0.097875   0.0331957
           4     4.86758     0.46475    0.148696
           4     5.09398   0.0859375   0.0415874
           4     5.32037   0.0251875    0.021813
           4     5.54677           0           0
           4     5.77317           0           0
           4     5.99957           0           0
           4     6.22597           0           0
           4     6.45237           0           0
           4     6.67877           0           0
           5    0.113199      0.3623   0.0794973
           5    0.339598      1.5272    0.156093
           5    0.565997      3.4123    0.179427
           5    0.792396     5.86265    0.664463
           5      1.0188      8.6167    0.668966
           5     1.24519     11.8584    0.944342
           5     1.47159     12.0199    0.514725
           5     1.69799     12.6139    0.218656
           5     1.92439     10.9772    0.491837
           5     2.15079      9.6563    0.667829
           5     2.37719     7.56935      0.5483
           5     2.60359     6.36485    0.494037
           5     2.82999      4.8213    0.337946
           5     3.05639      3.6563    0.415796
           5     3.28278      2.9495    0.243115
           5     3.50918     2.18745    0.335539
           5     3.73558       1.319    0.187045
           5     3.96198      0.8141    0.141403
           5     4.18838      0.5337    0.151631
           5     4.41478      0.1636    0.048876
           5     4.64118      0.0838   0.0293894
           5     4.86758      0.4082    0.129263
           5     5.09398      0.1834   0.0933062
           5     5.32037      0.0294   0.0178525
           5     5.54677       0.009  0.00804984
           5     5.77317           0           0
           5     5.99957           0           0
           5     6.22597           0           0
           5     6.45237           0           0
           5     6.67877           0           0
           6    0.113199    0.336708   0.0702463
           6    0.339598     1.52287    0.130137
           6    0.565997     3.62967    0.248457
           6    0.792396     6.19875    0.633041
           6      1.0188      8.4715    0.573013
           6     1.24519     11.8767    0.787129
           6     1.47159      12.045    0.429548
           6     1.69799     12.5069    0.206775
           6     1.92439     10.8866    0.418137
           6     2.15079     9.69188    0.557471
           6     2.37719     7.59521    0.457526
           6     2.60359     6.43383    0.416486
           6     2.82999     4.73312    0.292899
           6     3.05639     3.70442    0.349269
           6     3.28278     2.82367    0.232895
           6     3.50918     2.00162    0.327049
           6     3.73558     1.27492    0.160982
           6     3.96198    0.720583     0.14551
           6     4.18838    0.477792    0.136277
           6     4.41478    0.141792   0.0453351
           6     4.64118    0.151208   0.0662298
           6     4.86758    0.426542    0.109013
           6     5.09398     0.27525    0.114351
           6     5.32037   0.0487083   0.0230652
           6     5.54677   0.0217917   0.0134668
           6     5.77317  0.00291667  0.00266254
           6     5.99957           0           0
           6     6.22597           0           0
           6     6.45237           0           0
           6     6.67877           0           0
           7    0.113199    0.347357   0.0610129
           7    0.339598     1.64461     0.15857
           7    0.565997     3.81214    0.271834
           7    0.792396     6.51886    0.618265
           7      1.0188     8.64646    0.517177
           7     1.24519     11.8542    0.675005
           7     1.47159      11.924    0.384861
           7     1.69799      12.438    0.188358
           7     1.92439     10.8247    0.362957
           7     2.15079     9.69993    0.477891
           7     2.37719     7.53121    0.396615
           7     2.60359     6.15764    0.439118
           7     2.82999     4.72721    0.251116
           7     3.05639     3.61929    0.309575
           7     3.28278     2.85268    0.201423
           7     3.50918     1.91318    0.292042
           7     3.73558     1.18843    0.159535
           7     3.96198     0.65775    0.137622
           7     4.18838    0.454179    0.118837
           7     4.41478    0.142893    0.038872
           7     4.64118    0.171857   0.0599009
           7     4.86758    0.405714   0.0954085
           7     5.09398     0.28625    0.098543
           7     5.32037    0.102036   0.0531828
           7     5.54677   0.0741071   0.0497912
           7     5.77317  0.00535714  0.00321145
           7     5.99957           0           0
           7     6.22597           0           0
           7     6.45237           0           0
           7     6.67877           0           0
           8    0.113199    0.391937   0.0677428
           8    0.339598     1.65369    0.139008
           8    0.565997     3.73812    0.247727
           8    0.792396     6.81672    0.608517
           8      1.0188     8.47269     0.48084
           8     1.24519     11.3663    0.746377
           8     1.47159     11.7089    0.392267
           8     1.69799     12.7706    0.352098
           8     1.92439     11.2418    0.503103
           8     2.15079     9.96047    0.483993
           8     2.37719     7.69694    0.380088
           8     2.60359     5.96688    0.423644
           8     2.82999     4.50969    0.299471
           8     3.05639     3.52916    0.283695
           8     3.28278     2.73687    0.206873
           8     3.50918      1.9075    0.255592
           8     3.73558     1.25909    0.154453
           8     3.96198    0.689125    0.123944
           8     4.18838    0.456844    0.104012
           8     4.41478    0.160969    0.037984
           8     4.64118    0.167094   0.0526023
           8     4.86758    0.357469   0.0948999
           8     5.09398    0.278656   0.0865172
           8     5.32037   0.0928438   0.0473227
           8     5.54677   0.0648438   0.0444206
           8     5.77317   0.0046875  0.00287899
           8     5.99957           0           0
           8     6.22597           0           0
           8     6.45237           0           0
           8     6.67877           0           0
           9    0.113199    0.377083   0.0618229
           9    0.339598     1.64869    0.123652
           9    0.565997     3.80206    0.228302
           9    0.792396     6.80092    0.541109
           9      1.0188     8.52772    0.430551
           9     1.24519     11.0236    0.737941
           9     1.47159     11.5341    0.385688
           9     1.69799      13.017    0.389741
           9     1.92439     11.2023    0.448749
           9     2.15079     10.2708    0.520282
           9     2.37719     7.76111     0.34323
           9     2.60359     6.09056    0.394213
           9     2.82999     4.55925    0.270267
           9     3.05639     3.51531    0.252511
           9     3.28278     2.60978    0.219484
           9     3.50918     1.77556    0.259021
           9     3.73558     1.34278    0.158347
           9     3.96198    0.649472    0.116343
           9     4.18838    0.475028   0.0940314
           9     4.41478    0.155389   0.0341709
           9     4.64118    0.151694   0.0489598
           9     4.86758     0.31775   0.0922937
           9     5.09398    0.247694    0.082258
           9     5.32037   0.0825278   0.0431743
           9     5.54677   0.0576389   0.0400651
           9     5.77317  0.00416667  0.00260579
           9     5.99957           0           0
           9     6.22597           0           0
           9     6.45237           0           0
           9     6.67877           0           0
          10    0.113199    0.344675     0.06357
          10    0.339598      1.5629    0.137875
          10    0.565997      3.7603    0.209256
          10    0.792396     6.55415    0.540344
          10      1.0188     8.70337    0.421807
          10     1.24519     11.1315    0.671984
          10     1.47159     11.5598    0.347973
          10     1.69799     13.0185     0.35077
          10     1.92439      11.283    0.411065
          10     2.15079     10.1437    0.483543
          10     2.37719     7.80955    0.312307
          10     2.60359     6.41873     0.47202
          10     2.82999     4.71857    0.286377
          10     3.05639     3.44952    0.235672
          10     3.28278     2.51077    0.218728
          10     3.50918     1.68032    0.250012
          10     3.73558     1.33135    0.142924
          10     3.96198     0.64405    0.104835
          10     4.18838     0.45665   0.0864055
