#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.861475   -0.861475           0
           2   -0.479061   -0.670268    0.135204
           3   -0.439081   -0.593206    0.109925
           4   -0.424248   -0.550966   0.0901949
           5   -0.423625   -0.525498   0.0756663
           6   -0.473343   -0.516805   0.0635526
           7   -0.414051   -0.502126   0.0561433
           8   -0.434387   -0.493659   0.0497598
           9   -0.397299   -0.482952   0.0453682
          10   -0.380821   -0.472739   0.0419652
          11   -0.362386   -0.462707    0.039331
          12    -0.36756   -0.454778    0.036844
          13   -0.408296   -0.451203   0.0341829
          14   -0.389714   -0.446811   0.0320222
          15   -0.397011   -0.443491    0.030059
          16   -0.417158   -0.441845   0.0282253
          17   -0.371992   -0.437736   0.0268624
          18   -0.373279   -0.434155   0.0256076
          19   -0.388255   -0.431739   0.0243735
          20   -0.385805   -0.429442   0.0232628
          21     -0.3789   -0.427036   0.0222792
          22    -0.38044   -0.424918    0.021367
          23   -0.360632   -0.422123     0.02062
          24   -0.380685   -0.420396    0.019833
          25   -0.355107   -0.417784   0.0192108
          26   -0.348588   -0.415123   0.0186554
          27   -0.356548   -0.412954   0.0180901
          28   -0.366123   -0.411281   0.0175212
          29   -0.423794   -0.411713   0.0169223
          30   -0.362911   -0.410086   0.0164363
          31   -0.395069   -0.409601   0.0159132
          32   -0.379838   -0.408671   0.0154431
          33   -0.380491   -0.407817   0.0149987
          34   -0.342985   -0.405911   0.0146783
          35    -0.37262   -0.404959   0.0142897
          36   -0.375836    -0.40415   0.0139156
          37   -0.343112   -0.402501   0.0136369
          38   -0.437268   -0.403416   0.0133087
          39   -0.442865   -0.404427   0.0130059
          40   -0.475274   -0.406198   0.0128008
