#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.63749     1.63749           0
           2     1.38356     1.51053   0.0897797
           3     1.35689     1.45931   0.0730124
           4     1.34703     1.43124   0.0599131
           5     1.34664     1.41432   0.0502633
           6      1.3797     1.40855    0.042216
           7     1.34025     1.39879   0.0372956
           8     1.35381     1.39317   0.0330548
           9     1.32912     1.38605   0.0301384
          10     1.31812     1.37926   0.0278798
          11     1.30581     1.37258   0.0261326
          12     1.30927     1.36731   0.0244816
          13      1.3364     1.36493   0.0227136
          14     1.32405     1.36201    0.021278
          15     1.32888      1.3598   0.0199738
          16     1.34234     1.35871   0.0187552
          17     1.31226     1.35598   0.0178499
          18     1.31313      1.3536   0.0170163
          19     1.32307     1.35199   0.0161964
          20     1.32143     1.35046   0.0154584
          21     1.31688     1.34886   0.0148048
          22     1.31781     1.34745    0.014199
          23     1.30458     1.34559   0.0137035
          24     1.31799     1.34444   0.0131806
          25     1.30096      1.3427   0.0127676
          26     1.29668     1.34093   0.0123986
          27     1.30194     1.33948   0.0120232
          28     1.30833     1.33837   0.0116452
          29     1.34675     1.33866   0.0112472
          30     1.30618     1.33758   0.0109243
          31      1.3276     1.33726   0.0105766
          32     1.31747     1.33664   0.0102642
          33     1.31791     1.33607  0.00996883
          34     1.29286      1.3348   0.0097563
          35     1.31267     1.33417  0.00949801
          36     1.31472     1.33363  0.00924952
          37     1.29299     1.33253  0.00906451
          38     1.35574     1.33314  0.00884652
          39     1.35932     1.33381  0.00864512
          40     1.38093     1.33499  0.00850888
