#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59476     1.59476           0
           2     1.59628     1.59552 0.000534417
           3     1.59625     1.59576 0.000408502
           4      1.5963      1.5959 0.000327219
           5     1.59633     1.59598 0.000272911
           6     1.59621     1.59602 0.000229912
           7     1.59633     1.59606 0.000201171
           8     1.59633      1.5961 0.000178694
           9     1.59638     1.59613 0.000161656
          10     1.59635     1.59615 0.000147024
          11     1.59633     1.59617 0.000134591
          12     1.59635     1.59618 0.000124231
          13     1.59631     1.59619 0.000115047
          14     1.59636      1.5962 0.000107476
          15     1.59631     1.59621 0.000100535
          16     1.59635     1.59622 9.46237e-05
          17     1.59639     1.59623 8.95871e-05
          18     1.59641     1.59624 8.51582e-05
          19     1.59635     1.59625 8.08594e-05
          20     1.59635     1.59625 7.69758e-05
          21     1.59642     1.59626 7.37167e-05
          22     1.59628     1.59626 7.03712e-05
          23     1.59623     1.59626 6.73206e-05
          24      1.5963     1.59626 6.45391e-05
          25     1.59633     1.59626 6.20262e-05
          26     1.59644     1.59627 6.00007e-05
          27     1.59636     1.59627 5.78665e-05
          28     1.59637     1.59628  5.5894e-05
          29     1.59633     1.59628  5.3995e-05
          30     1.59636     1.59628 5.22582e-05
          31     1.59634     1.59628 5.06049e-05
          32     1.59636     1.59629 4.90796e-05
          33     1.59638     1.59629 4.76732e-05
          34     1.59631     1.59629 4.62742e-05
          35     1.59639     1.59629 4.50387e-05
          36     1.59625     1.59629 4.38045e-05
          37     1.59637     1.59629 4.26776e-05
          38     1.59634     1.59629 4.15733e-05
          39     1.59612     1.59629 4.07578e-05
          40     1.59613     1.59629 3.99406e-05
