#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1           3           3           0
           2           3           3 2.98023e-08
           3           3           3  4.8667e-08
           4           3           3 1.65932e-07
           5           3           3 3.12569e-07
           6           3           3 4.86061e-07
           7     3.00001           3 6.82764e-07
           8     3.00001           3  8.9964e-07
           9     3.00001           3 1.13536e-06
          10     3.00001           3 1.38848e-06
          11     3.00002     3.00001 1.65786e-06
          12     3.00002     3.00001 1.94249e-06
          13     3.00002     3.00001 2.24169e-06
          14     3.00003     3.00001 2.55482e-06
          15     3.00003     3.00001 2.88121e-06
          16     3.00004     3.00001 3.22048e-06
          17     3.00005     3.00001 3.57211e-06
          18     3.00005     3.00002 3.93575e-06
          19     3.00006     3.00002 4.31101e-06
          20     3.00007     3.00002 4.69759e-06
          21     3.00007     3.00002 5.09521e-06
          22     3.00008     3.00003 5.50358e-06
          23     3.00009     3.00003 5.92248e-06
          24      3.0001     3.00003 6.35167e-06
          25     3.00011     3.00004 6.79092e-06
          26     3.00012     3.00004 7.24008e-06
          27     3.00013     3.00004 7.69894e-06
          28     3.00014     3.00005 8.16736e-06
          29     3.00015     3.00005 8.64514e-06
          30     3.00016     3.00005 9.13217e-06
          31     3.00017     3.00006  9.6283e-06
          32     3.00019     3.00006 1.01334e-05
          33      3.0002     3.00006 1.06473e-05
          34     3.00021     3.00007   1.117e-05
          35     3.00022     3.00007 1.17013e-05
          36     3.00024     3.00008 1.22412e-05
          37     3.00025     3.00008 1.27895e-05
          38     3.00027     3.00009 1.33461e-05
          39     3.00028     3.00009 1.39109e-05
          40      3.0003      3.0001  1.4484e-05
