#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
           1    0.113199           0           0
           1    0.339598           0           0
           1    0.565997           0           0
           1    0.792396           0           0
           1      1.0188           0           0
           1     1.24519           0           0
           1     1.47159           0           0
           1     1.69799           0           0
           1     1.92439           0           0
           1     2.15079           0           0
           1     2.37719          63           0
           1     2.60359          45           0
           1     2.82999           0           0
           1     3.05639           0           0
           1     3.28278           0           0
           1     3.50918           0           0
           1     3.73558           0           0
           1     3.96198           0           0
           1     4.18838           0           0
           1     4.41478           0           0
           1     4.64118           0           0
           1     4.86758           0           0
           1     5.09398           0           0
           1     5.32037           0           0
           1     5.54677           0           0
           1     5.77317           0           0
           1     5.99957           0           0
           1     6.22597           0           0
           1     6.45237           0           0
           1     6.67877           0           0
           2    0.113199           0           0
           2    0.339598           0           0
           2    0.565997           0           0
           2    0.792396           0           0
           2      1.0188           0           0
           2     1.24519           0           0
           2     1.47159           0           0
           2     1.69799           0           0
           2     1.92439           0           0
           2     2.15079           0           0
           2     2.37719          63           0
           2     2.60359          45           0
           2     2.82999           0           0
           2     3.05639           0           0
           2     3.28278           0           0
           2     3.50918           0           0
           2     3.73558           0           0
           2     3.96198           0           0
           2     4.18838           0           0
           2     4.41478           0           0
           2     4.64118           0           0
           2     4.86758           0           0
           2     5.09398           0           0
           2     5.32037           0           0
           2     5.54677           0           0
           2     5.77317           0           0
           2     5.99957           0           0
           2     6.22597           0           0
           2     6.45237           0           0
           2     6.67877           0           0
           3    0.113199           0           0
           3    0.339598           0           0
           3    0.565997           0           0
           3    0.792396           0           0
           3      1.0188           0           0
           3     1.24519           0           0
           3     1.47159           0           0
           3     1.69799           0           0
           3     1.92439           0           0
           3     2.15079           0           0
           3     2.37719          63           0
           3     2.60359          45           0
           3     2.82999           0           0
           3     3.05639           0           0
           3     3.28278           0           0
           3     3.50918           0           0
           3     3.73558           0           0
           3     3.96198           0           0
           3     4.18838           0           0
           3     4.41478           0           0
           3     4.64118           0           0
           3     4.86758           0           0
           3     5.09398           0           0
           3     5.32037           0           0
           3     5.54677           0           0
           3     5.77317           0           0
           3     5.99957           0           0
           3     6.22597           0           0
           3     6.45237           0           0
           3     6.67877           0           0
           4    0.113199           0           0
           4    0.339598           0           0
           4    0.565997           0           0
           4    0.792396           0           0
           4      1.0188           0           0
           4     1.24519           0           0
           4     1.47159           0           0
           4     1.69799           0           0
           4     1.92439           0           0
           4     2.15079           0           0
           4     2.37719          63           0
           4     2.60359          45           0
           4     2.82999           0           0
           4     3.05639           0           0
           4     3.28278           0           0
           4     3.50918           0           0
           4     3.73558           0           0
           4     3.96198           0           0
           4     4.18838           0           0
           4     4.41478           0           0
           4     4.64118           0           0
           4     4.86758           0           0
           4     5.09398           0           0
           4     5.32037           0           0
           4     5.54677           0           0
           4     5.77317           0           0
           4     5.99957           0           0
           4     6.22597           0           0
           4     6.45237           0           0
           4     6.67877           0           0
           5    0.113199           0           0
           5    0.339598           0           0
           5    0.565997           0           0
           5    0.792396           0           0
           5      1.0188           0           0
           5     1.24519           0           0
           5     1.47159           0           0
           5     1.69799           0           0
           5     1.92439           0           0
           5     2.15079           0           0
           5     2.37719          63           0
           5     2.60359          45           0
           5     2.82999           0           0
           5     3.05639           0           0
           5     3.28278           0           0
           5     3.50918           0           0
           5     3.73558           0           0
           5     3.96198           0           0
           5     4.18838           0           0
           5     4.41478           0           0
           5     4.64118           0           0
           5     4.86758           0           0
           5     5.09398           0           0
           5     5.32037           0           0
           5     5.54677           0           0
           5     5.77317           0           0
           5     5.99957           0           0
           5     6.22597           0           0
           5     6.45237           0           0
           5     6.67877           0           0
           6    0.113199           0           0
           6    0.339598           0           0
           6    0.565997           0           0
           6    0.792396           0           0
           6      1.0188           0           0
           6     1.24519           0           0
           6     1.47159           0           0
           6     1.69799           0           0
           6     1.92439           0           0
           6     2.15079           0           0
           6     2.37719          63           0
           6     2.60359          45           0
           6     2.82999           0           0
           6     3.05639           0           0
           6     3.28278           0           0
           6     3.50918           0           0
           6     3.73558           0           0
           6     3.96198           0           0
           6     4.18838           0           0
           6     4.41478           0           0
           6     4.64118           0           0
           6     4.86758           0           0
           6     5.09398           0           0
           6     5.32037           0           0
           6     5.54677           0           0
           6     5.77317           0           0
           6     5.99957           0           0
           6     6.22597           0           0
           6     6.45237           0           0
           6     6.67877           0           0
           7    0.113199           0           0
           7    0.339598           0           0
           7    0.565997           0           0
           7    0.792396           0           0
           7      1.0188           0           0
           7     1.24519           0           0
           7     1.47159           0           0
           7     1.69799           0           0
           7     1.92439           0           0
           7     2.15079           0           0
           7     2.37719          63           0
           7     2.60359          45           0
           7     2.82999           0           0
           7     3.05639           0           0
           7     3.28278           0           0
           7     3.50918           0           0
           7     3.73558           0           0
           7     3.96198           0           0
           7     4.18838           0           0
           7     4.41478           0           0
           7     4.64118           0           0
           7     4.86758           0           0
           7     5.09398           0           0
           7     5.32037           0           0
           7     5.54677           0           0
           7     5.77317           0           0
           7     5.99957           0           0
           7     6.22597           0           0
           7     6.45237           0           0
           7     6.67877           0           0
           8    0.113199           0           0
           8    0.339598           0           0
           8    0.565997           0           0
           8    0.792396           0           0
           8      1.0188           0           0
           8     1.24519           0           0
           8     1.47159           0           0
           8     1.69799           0           0
           8     1.92439           0           0
           8     2.15079           0           0
           8     2.37719          63           0
           8     2.60359          45           0
           8     2.82999           0           0
           8     3.05639           0           0
           8     3.28278           0           0
           8     3.50918           0           0
           8     3.73558           0           0
           8     3.96198           0           0
           8     4.18838           0           0
           8     4.41478           0           0
           8     4.64118           0           0
           8     4.86758           0           0
           8     5.09398           0           0
           8     5.32037           0           0
           8     5.54677           0           0
           8     5.77317           0           0
           8     5.99957           0           0
           8     6.22597           0           0
           8     6.45237           0           0
           8     6.67877           0           0
           9    0.113199           0           0
           9    0.339598           0           0
           9    0.565997           0           0
           9    0.792396           0           0
           9      1.0188           0           0
           9     1.24519           0           0
           9     1.47159           0           0
           9     1.69799           0           0
           9     1.92439           0           0
           9     2.15079           0           0
           9     2.37719          63           0
           9     2.60359          45           0
           9     2.82999           0           0
           9     3.05639           0           0
           9     3.28278           0           0
           9     3.50918           0           0
           9     3.73558           0           0
           9     3.96198           0           0
           9     4.18838           0           0
           9     4.41478           0           0
           9     4.64118           0           0
           9     4.86758           0           0
           9     5.09398           0           0
           9     5.32037           0           0
           9     5.54677           0           0
           9     5.77317           0           0
           9     5.99957           0           0
           9     6.22597           0           0
           9     6.45237           0           0
           9     6.67877           0           0
          10    0.113199           0           0
          10    0.339598           0           0
          10    0.565997           0           0
          10    0.792396           0           0
          10      1.0188           0           0
          10     1.24519           0           0
          10     1.47159           0           0
          10     1.69799           0           0
          10     1.92439           0           0
          10     2.15079           0           0
          10     2.37719          63           0
          10     2.60359          45           0
          10     2.82999           0           0
          10     3.05639           0           0
          10     3.28278           0           0
          10     3.50918           0           0
          10     3.73558           0           0
          10     3.96198           0           0
          10     4.18838           0           0
          10     4.41478           0           0
          10     4.64118           0           0
          10     4.86758           0           0
          10     5.09398           0           0
          10     5.32037           0           0
          10     5.54677           0           0
          10     5.77317           0           0
          10     5.99957           0           0
          10     6.22597           0           0
          10     6.45237           0           0
          10     6.67877           0           0
          11    0.113199           0           0
          11    0.339598           0           0
          11    0.565997           0           0
          11    0.792396           0           0
          11      1.0188           0           0
