#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0318372  -0.0318372           0
           2  -0.0318374  -0.0318373  7.2188e-08
           3   -0.031838  -0.0318375 2.00414e-07
           4   -0.031839  -0.0318379 3.57483e-07
           5  -0.0318405  -0.0318384 5.39032e-07
           6  -0.0318423  -0.0318391 7.42203e-07
           7  -0.0318446  -0.0318399 9.64967e-07
           8  -0.0318472  -0.0318408 1.20578e-06
           9  -0.0318503  -0.0318418 1.46344e-06
          10  -0.0318538   -0.031843 1.73693e-06
          11  -0.0318577  -0.0318444 2.02544e-06
          12   -0.031862  -0.0318458 2.32826e-06
          13  -0.0318667  -0.0318474 2.64476e-06
          14  -0.0318718  -0.0318492 2.97443e-06
          15  -0.0318774  -0.0318511 3.31678e-06
          16  -0.0318833  -0.0318531  3.6714e-06
          17  -0.0318897  -0.0318552  4.0379e-06
          18  -0.0318965  -0.0318575 4.41595e-06
          19  -0.0319037  -0.0318599 4.80524e-06
          20  -0.0319113  -0.0318625 5.20548e-06
          21  -0.0319193  -0.0318652 5.61642e-06
          22  -0.0319278  -0.0318681 6.03781e-06
          23  -0.0319366   -0.031871 6.46943e-06
          24  -0.0319459  -0.0318742 6.91109e-06
          25  -0.0319556  -0.0318774 7.36259e-06
          26  -0.0319657  -0.0318808 7.82376e-06
          27  -0.0319763  -0.0318843 8.29443e-06
          28  -0.0319872   -0.031888 8.77444e-06
          29  -0.0319986  -0.0318918 9.26366e-06
          30  -0.0320104  -0.0318958 9.76194e-06
          31  -0.0320227  -0.0318999 1.02692e-05
          32  -0.0320353  -0.0319041 1.07852e-05
          33  -0.0320484  -0.0319085   1.131e-05
          34  -0.0320619   -0.031913 1.18433e-05
          35  -0.0320758  -0.0319177 1.23852e-05
          36  -0.0320902  -0.0319224 1.29355e-05
          37   -0.032105  -0.0319274 1.34941e-05
          38  -0.0321202  -0.0319325 1.40609e-05
          39  -0.0321359  -0.0319377 1.46359e-05
          40   -0.032152   -0.031943 1.52189e-05
