#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1           2           2           0
           2           2           2           0
           3           2           2 3.84746e-08
           4           2           2  1.1051e-07
           5           2           2  2.0819e-07
           6           2           2 3.24193e-07
           7           2           2 4.55052e-07
           8           2           2 5.99668e-07
           9     2.00001           2  7.5695e-07
          10     2.00001           2 9.25697e-07
          11     2.00001           2 1.10525e-06
          12     2.00001           2 1.29503e-06
          13     2.00002     2.00001 1.49447e-06
          14     2.00002     2.00001 1.70319e-06
          15     2.00002     2.00001 1.92082e-06
          16     2.00003     2.00001 2.14698e-06
          17     2.00003     2.00001 2.38141e-06
          18     2.00003     2.00001 2.62383e-06
          19     2.00004     2.00001 2.87402e-06
          20     2.00004     2.00001 3.13174e-06
          21     2.00005     2.00002 3.39682e-06
          22     2.00005     2.00002 3.66907e-06
          23     2.00006     2.00002 3.94833e-06
          24     2.00007     2.00002 4.23445e-06
          25     2.00007     2.00002 4.52729e-06
          26     2.00008     2.00003 4.82673e-06
          27     2.00009     2.00003 5.13263e-06
          28     2.00009     2.00003 5.44491e-06
          29      2.0001     2.00003 5.76343e-06
          30     2.00011     2.00004 6.08811e-06
          31     2.00012     2.00004 6.41887e-06
          32     2.00012     2.00004  6.7556e-06
          33     2.00013     2.00004 7.09824e-06
          34     2.00014     2.00005 7.44669e-06
          35     2.00015     2.00005  7.8009e-06
          36     2.00016     2.00005 8.16079e-06
          37     2.00017     2.00006 8.52631e-06
          38     2.00018     2.00006 8.89738e-06
          39     2.00019     2.00006 9.27396e-06
          40      2.0002     2.00007 9.65598e-06
