#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.96816     2.96816           0
           2     2.96816     2.96816 7.88495e-08
           3     2.96816     2.96816 1.48015e-07
           4     2.96816     2.96816  1.9656e-07
           5     2.96816     2.96816 2.34664e-07
           6     2.96816     2.96816 2.65447e-07
           7     2.96816     2.96816 2.93303e-07
           8     2.96816     2.96816 3.18202e-07
           9     2.96816     2.96816 3.40958e-07
          10     2.96816     2.96816 3.62071e-07
          11     2.96816     2.96816 3.81867e-07
          12     2.96816     2.96816 4.00949e-07
          13     2.96816     2.96816  4.1854e-07
          14     2.96816     2.96816  4.3597e-07
          15     2.96816     2.96816 4.52367e-07
          16     2.96816     2.96816 4.68143e-07
          17     2.96816     2.96816 4.83475e-07
          18     2.96816     2.96816 4.98391e-07
          19     2.96816     2.96816 5.12739e-07
          20     2.96816     2.96816 5.26751e-07
          21     2.96815     2.96816 5.40526e-07
          22     2.96815     2.96816 5.53772e-07
          23     2.96815     2.96816 5.66892e-07
          24     2.96815     2.96816 5.79743e-07
          25     2.96815     2.96816 5.92279e-07
          26     2.96815     2.96816 6.04752e-07
          27     2.96815     2.96816 6.16929e-07
          28     2.96815     2.96816 6.28782e-07
          29     2.96815     2.96816 6.40577e-07
          30     2.96815     2.96816 6.52119e-07
          31     2.96815     2.96816 6.63557e-07
          32     2.96815     2.96816 6.74761e-07
          33     2.96815     2.96816 6.85866e-07
          34     2.96815     2.96816 6.96905e-07
          35     2.96815     2.96816 7.07694e-07
          36     2.96815     2.96816 7.18422e-07
          37     2.96815     2.96816 7.29051e-07
          38     2.96815     2.96816 7.39485e-07
          39     2.96815     2.96816 7.49887e-07
          40     2.96815     2.96815 7.60193e-07
