#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.07088     2.07088           0
           2       2.039     2.05494   0.0112696
           3     2.03362     2.04783  0.00949266
           4     1.93619     2.01992   0.0251987
           5     2.01543     2.01902    0.020175
           6     1.96487        2.01   0.0187232
           7     1.97123     2.00446   0.0168477
           8     1.98904     2.00253   0.0148515
           9     1.95636      1.9974   0.0140597
          10     1.98833     1.99649   0.0126829
          11     1.96032     1.99321   0.0119488
          12     1.96324     1.99071   0.0112109
          13     1.95318     1.98782   0.0107138
          14      1.9489     1.98504    0.010303
          15      1.9592     1.98332  0.00975917
          16     1.92063      1.9794   0.0099046
          17     1.96502     1.97855  0.00935804
          18     1.96848     1.97799  0.00885488
          19     2.00731     1.97954   0.0085222
          20      2.0419     1.98266  0.00864781
          21     2.05243     1.98598  0.00885136
          22     2.01018     1.98708  0.00851709
          23     2.01693     1.98838  0.00824506
          24     1.97612     1.98787   0.0079173
          25      1.9457     1.98618  0.00777822
          26     1.99505     1.98652  0.00748653
          27     1.97897     1.98624  0.00721448
          28     1.97669      1.9859  0.00696488
          29       1.996     1.98625  0.00673341
          30      1.9438     1.98483  0.00665596
          31     1.98892     1.98496  0.00644255
          32     1.98692     1.98503  0.00624151
          33     1.98716     1.98509  0.00605271
          34     1.98895      1.9852  0.00587576
          35     1.97339     1.98487  0.00571756
          36     1.94804     1.98384  0.00564949
          37     1.93349     1.98248  0.00565831
          38     1.97032     1.98216  0.00551846
          39     1.95578     1.98149  0.00541827
          40     1.96161     1.98099  0.00530556
