#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
           1    0.113199     0.05775           0
           1    0.339598      1.6565           0
           1    0.565997       4.008           0
           1    0.792396     7.30825           0
           1      1.0188     9.76025           0
           1     1.24519     11.3245           0
           1     1.47159     9.89225           0
           1     1.69799     10.0843           0
           1     1.92439     11.9682           0
           1     2.15079     10.7193           0
           1     2.37719       8.642           0
           1     2.60359       6.683           0
           1     2.82999     6.15475           0
           1     3.05639     2.21375           0
           1     3.28278     2.18825           0
           1     3.50918     0.83775           0
           1     3.73558     1.35425           0
           1     3.96198     2.03125           0
           1     4.18838       0.653           0
           1     4.41478     0.39125           0
           1     4.64118      0.0175           0
           1     4.86758       0.002           0
           1     5.09398      0.0455           0
           1     5.32037      0.0065           0
           1     5.54677           0           0
           1     5.77317           0           0
           1     5.99957           0           0
           1     6.22597           0           0
           1     6.45237           0           0
           1     6.67877           0           0
           2    0.113199    0.231375    0.122771
           2    0.339598     1.75875   0.0723017
           2    0.565997     4.33625    0.232108
           2    0.792396     6.91913    0.275153
           2      1.0188     9.76912  0.00627557
           2     1.24519     11.0493    0.194631
           2     1.47159     10.5861    0.490644
           2     1.69799     10.7468    0.468458
           2     1.92439     10.3397     1.15152
           2     2.15079       9.995    0.512122
           2     2.37719     9.28787    0.456703
           2     2.60359       7.268    0.413657
           2     2.82999     5.96787    0.132141
           2     3.05639     2.52125    0.217435
           2     3.28278     2.16575   0.0159099
           2     3.50918     1.14162    0.214872
           2     3.73558     1.47687    0.086709
           2     3.96198     1.42037    0.431954
           2     4.18838    0.684875    0.022539
           2     4.41478    0.236875     0.10916
           2     4.64118       0.011  0.00459619
           2     4.86758     0.03325   0.0220971
           2     5.09398      0.0355  0.00707107
           2     5.32037     0.00975   0.0022981
           2     5.54677    0.007625  0.00539169
           2     5.77317           0           0
           2     5.99957           0           0
           2     6.22597           0           0
           2     6.45237           0           0
           2     6.67877           0           0
           3    0.113199    0.246833   0.0828151
           3    0.339598     1.62858      0.1167
           3    0.565997     3.78417    0.476593
           3    0.792396     6.78358    0.214234
           3      1.0188     9.52225    0.201616
           3     1.24519      11.179     0.16751
           3     1.47159     10.2747    0.414322
           3     1.69799     12.2011     1.22784
           3     1.92439     10.1921    0.777093
           3     2.15079     10.6243    0.616931
           3     2.37719     9.16358    0.320936
           3     2.60359     7.23283    0.277262
           3     2.82999     5.25233    0.590842
           3     3.05639     2.71217    0.212866
           3     3.28278      2.5575    0.320038
           3     3.50918     1.15558    0.143701
           3     3.73558     1.17633    0.252108
           3     3.96198     1.28342     0.30892
           3     4.18838    0.739417   0.0469998
           3     4.41478      0.2255   0.0733633
           3     4.64118  0.00733333  0.00428391
           3     4.86758   0.0221667   0.0172889
           3     5.09398   0.0236667   0.0107505
           3     5.32037      0.0065  0.00306413
           3     5.54677  0.00508333  0.00415052
           3     5.77317           0           0
           3     5.99957           0           0
           3     6.22597           0           0
           3     6.45237           0           0
           3     6.67877           0           0
           4    0.113199     0.19525   0.0765078
           4    0.339598     1.71919    0.117548
           4    0.565997     4.19912    0.506863
           4    0.792396     6.26569    0.476423
           4      1.0188     9.07025    0.419634
           4     1.24519     11.4079    0.234718
           4     1.47159     11.0679    0.754002
           4     1.69799     12.8369     1.07296
           4     1.92439     10.2076    0.582974
           4     2.15079     10.8176     0.49203
           4     2.37719      8.7625    0.422597
           4     2.60359     6.73187    0.481104
           4     2.82999     4.78106    0.602443
           4     3.05639     2.73037    0.160426
           4     3.28278     2.61869    0.245808
           4     3.50918     1.29681    0.163018
           4     3.73558      1.2155    0.192099
           4     3.96198     1.07406    0.294197
           4     4.18838     0.70175   0.0480274
           4     4.41478     0.23825   0.0561195
           4     4.64118    0.018625   0.0102932
           4     4.86758    0.016625   0.0138264
           4     5.09398     0.01775   0.0095533
           4     5.32037    0.004875  0.00269476
           4     5.54677   0.0038125  0.00330172
           4     5.77317           0           0
           4     5.99957           0           0
           4     6.22597           0           0
           4     6.45237           0           0
           4     6.67877           0           0
           5    0.113199      0.1818   0.0623773
           5    0.339598      1.8039    0.120765
           5    0.565997     4.37075    0.433574
           5    0.792396     6.48935    0.430449
           5      1.0188     9.12595    0.339384
           5     1.24519      11.184    0.274517
           5     1.47159     10.9715    0.609338
           5     1.69799     12.7353    0.863177
           5     1.92439     10.5708    0.568386
           5     2.15079     10.7537    0.397753
           5     2.37719     8.61835    0.361829
           5     2.60359     6.25705    0.573151
           5     2.82999     4.55085    0.524097
           5     3.05639     2.91225    0.207206
           5     3.28278     2.54275    0.208046
           5     3.50918       1.407    0.163465
           5     3.73558     1.51935    0.312213
           5     3.96198      1.1209    0.239057
           5     4.18838      0.6213   0.0815721
           5     4.41478     0.20545    0.053631
           5     4.64118      0.0233  0.00923537
           5     4.86758      0.0133   0.0114539
           5     5.09398      0.0142  0.00827599
           5     5.32037      0.0039  0.00232551
           5     5.54677     0.00305    0.002728
           5     5.77317           0           0
           5     5.99957           0           0
           5     6.22597           0           0
           5     6.45237           0           0
           5     6.67877           0           0
           6    0.113199    0.206042   0.0564956
           6    0.339598     1.89421    0.130093
           6    0.565997     4.18408    0.399479
           6    0.792396     6.55475    0.363642
           6      1.0188     9.10858    0.283264
           6     1.24519     11.5516    0.406079
           6     1.47159      11.259    0.571579
           6     1.69799     12.6033    0.729337
           6     1.92439     10.3827    0.503829
           6     2.15079     10.7742    0.331992
           6     2.37719     8.41242    0.355327
           6     2.60359     6.06833    0.507745
           6     2.82999      4.6315     0.44291
           6     3.05639     3.02342    0.200284
           6     3.28278     2.46929    0.185888
           6     3.50918      1.4315    0.138045
           6     3.73558     1.41771    0.276228
           6     3.96198     1.02354     0.21814
           6     4.18838     0.69375    0.094842
           6     4.41478    0.248667   0.0596139
           6     4.64118   0.0328333   0.0116176
           6     4.86758   0.0110833  0.00975706
           6     5.09398   0.0118333  0.00722714
           6     5.32037     0.00325  0.00202673
           6     5.54677  0.00254167  0.00232021
           6     5.77317           0           0
           6     5.99957           0           0
           6     6.22597           0           0
           6     6.45237           0           0
           6     6.67877           0           0
           7    0.113199    0.206179   0.0484249
           7    0.339598      1.7715    0.159187
           7    0.565997     4.18879    0.342438
           7    0.792396     6.25929    0.414705
           7      1.0188     8.90782    0.305775
           7     1.24519     11.4577    0.358753
           7     1.47159     11.7691    0.680537
           7     1.69799     13.0459    0.747478
           7     1.92439     10.5951    0.474519
           7     2.15079     10.6093    0.322956
           7     2.37719     8.22218    0.351825
           7     2.60359       5.908    0.459828
           7     2.82999     4.72932     0.39029
           7     3.05639     3.12475    0.195635
           7     3.28278     2.55204    0.176792
           7     3.50918     1.40618    0.120624
           7     3.73558     1.37039    0.240785
           7     3.96198    0.925893    0.207686
           7     4.18838    0.661321     0.08666
           7     4.41478    0.233393   0.0530182
           7     4.64118   0.0313214   0.0100558
           7     4.86758      0.0095  0.00849069
           7     5.09398   0.0101429  0.00638934
           7     5.32037  0.00278571  0.00178959
           7     5.54677  0.00217857  0.00201697
           7     5.77317           0           0
           7     5.99957           0           0
           7     6.22597           0           0
           7     6.45237           0           0
           7     6.67877           0           0
           8    0.113199    0.189844   0.0450427
           8    0.339598     1.69766    0.155475
           8    0.565997     4.10734    0.309166
           8    0.792396     6.16178    0.374154
           8      1.0188     8.77753    0.294004
           8     1.24519     11.5777    0.333367
           8     1.47159     11.8707    0.602998
           8     1.69799     12.9079    0.666646
           8     1.92439     10.6393    0.417261
           8     2.15079     10.8364    0.353578
           8     2.37719     8.35031    0.330357
           8     2.60359      6.0235    0.416603
           8     2.82999      4.6175    0.357164
           8     3.05639     3.23084    0.197868
           8     3.28278     2.53069    0.155977
           8     3.50918     1.37628    0.109188
           8     3.73558     1.34606    0.211912
           8     3.96198    0.902469    0.183042
           8     4.18838    0.601438   0.0942743
           8     4.41478     0.20575   0.0531106
           8     4.64118   0.0274063  0.00953058
           8     4.86758   0.0083125  0.00751194
           8     5.09398    0.008875  0.00571508
           8     5.32037   0.0024375  0.00159941
           8     5.54677  0.00190625  0.00178313
           8     5.77317           0           0
           8     5.99957           0           0
           8     6.22597           0           0
           8     6.45237           0           0
           8     6.67877           0           0
           9    0.113199    0.188556   0.0400564
           9    0.339598     1.60017    0.165974
           9    0.565997     4.05278    0.279588
           9    0.792396     6.02572    0.356462
           9      1.0188      8.5485    0.339004
           9     1.24519     11.4609    0.316116
           9     1.47159     12.0585    0.564481
           9     1.69799      12.838    0.596228
           9     1.92439      10.904    0.447051
           9     2.15079     11.0091    0.353941
           9     2.37719     8.61306     0.38418
           9     2.60359     6.12781    0.383149
           9     2.82999     4.60947    0.317569
           9     3.05639      3.4095    0.243529
           9     3.28278     2.41039    0.179127
           9     3.50918     1.25211    0.152069
           9     3.73558     1.26547    0.203114
           9     3.96198    0.857139    0.168223
           9     4.18838    0.542417    0.100592
           9     4.41478    0.182889   0.0518969
           9     4.64118   0.0243611  0.00894489
           9     4.86758  0.00738889  0.00673382
           9     5.09398  0.00788889  0.00516444
           9     5.32037  0.00216667  0.00144444
           9     5.54677  0.00169444  0.00159754
           9     5.77317           0           0
           9     5.99957           0           0
           9     6.22597           0           0
           9     6.45237           0           0
           9     6.67877           0           0
          10    0.113199    0.196325   0.0367965
          10    0.339598     1.65855    0.159315
          10    0.565997     4.03497    0.252196
          10    0.792396      6.0676    0.323267
          10      1.0188     8.56172    0.305362
          10     1.24519     11.1542    0.406987
          10     1.47159     11.9075    0.527843
          10     1.69799     12.7495    0.543138
          10     1.92439     11.1263    0.454254
          10     2.15079     11.1207     0.33567
          10     2.37719     8.85572    0.415392
          10     2.60359     6.18125    0.348541
          10     2.82999     4.54525    0.292234
          10     3.05639      3.3594     0.22427
          10     3.28278     2.36928    0.165866
          10     3.50918     1.29555    0.142932
          10     3.73558      1.2901    0.184289
          10     3.96198    0.807625     0.15852
          10     4.18838    0.494875    0.101145
          10     4.41478      0.1794   0.0468243
          10     4.64118    0.027075  0.00845207
          10     4.86758     0.00665  0.00610084
          10     5.09398      0.0071  0.00470787
          10     5.32037     0.00195  0.00131615
          10     5.54677    0.001525  0.00144674
          10     5.77317           0           0
          10     5.99957           0           0
          10     6.22597           0           0
          10     6.45237           0           0
          10     6.67877           0           0
          11    0.113199     0.19125   0.0337995
          11    0.339598       1.637    0.146282
          11    0.565997     4.10068    0.237674
          11    0.792396     6.21982    0.327763
          11      1.0188     8.46825    0.291557
          11     1.24519     10.8661    0.460801
          11     1.47159       11.79    0.492766
          11     1.69799     12.8724    0.507478
          11     1.92439     11.3287    0.455845
          11     2.15079     11.1723    0.309109
          11     2.37719     8.82625    0.378674
          11     2.60359     6.26395    0.326521
          11     2.82999      4.5232    0.266497
          11     3.05639     3.38707    0.205581
          11     3.28278     2.30059    0.164394
          11     3.50918     1.33336    0.134847
          11     3.73558     1.25445    0.170948
          11     3.96198    0.806659    0.144112
          11     4.18838    0.454568   0.0996584
          11     4.41478    0.163091   0.0453189
          11     4.64118   0.0246136  0.00803411
          11     4.86758  0.00604545  0.00557609
          11     5.09398  0.00645455   0.0043239
          11     5.32037  0.00177273  0.00120838
          11     5.54677  0.00138636  0.00132185
          11     5.77317           0           0
          11     5.99957           0           0
          11     6.22597           0           0
          11     6.45237           0           0
          11     6.67877           0           0
          12    0.113199    0.177771   0.0335632
          12    0.339598     1.61025    0.136516
          12    0.565997      3.9776    0.247694
          12    0.792396     6.07379    0.331386
          12      1.0188     8.22771    0.352799
          12     1.24519     10.9109     0.42458
          12     1.47159     11.8554    0.456032
          12     1.69799     13.0405    0.492233
          12     1.92439     11.4737    0.440297
          12     2.15079     11.4175    0.367942
          12     2.37719      9.0039    0.386547
          12     2.60359     6.14662    0.319697
          12     2.82999     4.52927    0.244358
          12     3.05639     3.37873    0.188619
          12     3.28278     2.33169    0.153607
          12     3.50918     1.28202    0.133026
          12     3.73558       1.172    0.175465
          12     3.96198    0.750812    0.142514
          12     4.18838    0.433417   0.0935712
          12     4.41478    0.163375   0.0415432
          12     4.64118   0.0239375  0.00739299
          12     4.86758     0.01025  0.00650627
          12     5.09398  0.00591667  0.00399689
          12     5.32037    0.001625  0.00111667
          12     5.54677  0.00127083  0.00121673
          12     5.77317           0           0
          12     5.99957           0           0
          12     6.22597           0           0
          12     6.45237           0           0
          12     6.67877           0           0
          13    0.113199    0.167712   0.0324539
          13    0.339598     1.51608    0.155132
          13    0.565997     3.89013    0.243596
          13    0.792396     6.02348     0.30969
          13      1.0188     8.34085    0.343322
          13     1.24519     10.9026    0.392002
          13     1.47159      11.804    0.423842
          13     1.69799      13.072     0.45538
          13     1.92439     11.6459    0.438817
          13     2.15079      11.459    0.341972
          13     2.37719     9.06944    0.362328
          13     2.60359     6.10562    0.297723
          13     2.82999      4.5486    0.226324
          13     3.05639     3.41171     0.17697
          13     3.28278     2.31398    0.142808
          13     3.50918     1.30579    0.124898
          13     3.73558     1.10835    0.173129
          13     3.96198       0.707    0.138121
          13     4.18838    0.401404   0.0916862
          13     4.41478    0.163365   0.0383476
          13     4.64118   0.0253846  0.00696449
          13     4.86758  0.00946154  0.00605338
          13     5.09398  0.00546154  0.00371526
          13     5.32037      0.0015  0.00103775
          13     5.54677  0.00117308  0.00112706
          13     5.77317           0           0
          13     5.99957           0           0
          13     6.22597           0           0
          13     6.45237           0           0
          13     6.67877           0           0
          14    0.113199    0.158018   0.0315502
          14    0.339598     1.50068    0.144814
          14    0.565997     3.85973    0.228085
          14    0.792396     5.98884    0.289501
          14      1.0188     8.30713    0.320451
          14     1.24519     10.8667    0.365641
          14     1.47159     11.8248    0.394076
          14     1.69799     13.1336    0.426987
          14     1.92439     11.6089    0.409026
          14     2.15079     11.5026    0.320311
          14     2.37719     9.03089    0.338492
          14     2.60359      6.2395    0.305079
          14     2.82999     4.70796    0.260289
          14     3.05639      3.3988    0.164799
          14     3.28278     2.31821     0.13267
          14     3.50918     1.27675    0.119305
          14     3.73558     1.05141    0.169867
          14     3.96198    0.661179    0.135643
          14     4.18838    0.372732    0.089508
          14     4.41478    0.151696   0.0373417
          14     4.64118   0.0235714   0.0066989
          14     4.86758  0.00878571  0.00565859
          14     5.09398  0.00507143   0.0034703
          14     5.32037  0.00139286 0.000969139
          14     5.54677  0.00108929  0.00104966
          14     5.77317           0           0
          14     5.99957           0           0
          14     6.22597           0           0
          14     6.45237           0           0
          14     6.67877           0           0
          15    0.113199    0.181717   0.0373003
          15    0.339598     1.50758    0.135324
          15    0.565997     3.83175    0.214589
          15    0.792396     6.13637    0.305486
          15      1.0188     8.32113    0.299394
          15     1.24519     10.8904    0.342033
          15     1.47159     11.8626    0.369617
          15     1.69799     13.0953    0.400233
          15     1.92439     11.4378    0.416019
          15     2.15079     11.3117    0.351287
          15     2.37719      9.0849    0.320205
          15     2.60359     6.26648    0.285932
          15     2.82999     4.72912    0.243795
          15     3.05639      3.4869    0.175789
          15     3.28278     2.31607    0.123843
          15     3.50918     1.29727    0.113102
          15     3.73558      1.0569    0.158631
          15     3.96198    0.652483    0.126879
          15     4.18838      0.3544   0.0853975
          15     4.41478      0.1419   0.0361144
          15     4.64118       0.022  0.00643398
          15     4.86758      0.0082  0.00531158
          15     5.09398  0.00473333  0.00325538
          15     5.32037      0.0013 0.000908968
          15     5.54677  0.00101667 0.000982193
          15     5.77317           0           0
          15     5.99957           0           0
          15     6.22597           0           0
          15     6.45237           0           0
          15     6.67877           0           0
          16    0.113199    0.177813   0.0351727
          16    0.339598      1.4907    0.127915
          16    0.565997     3.85172    0.202104
          16    0.792396     6.21039    0.295226
          16      1.0188     8.49495    0.327272
          16     1.24519     10.8662    0.321512
          16     1.47159     11.8693    0.346575
          16     1.69799     12.9078    0.416818
          16     1.92439      11.462    0.390718
          16     2.15079     11.2141    0.342602
          16     2.37719     9.05786    0.301332
          16     2.60359     6.40647    0.300379
          16     2.82999     4.74469    0.229054
          16     3.05639     3.42367    0.175806
          16     3.28278     2.26578    0.125899
          16     3.50918     1.31102    0.106865
          16     3.73558     1.11225    0.158078
          16     3.96198    0.626156     0.12165
          16     4.18838    0.336172   0.0819825
          16     4.41478    0.133953   0.0347206
          16     4.64118   0.0208906  0.00612675
          16     4.86758  0.00834375  0.00498155
          16     5.09398  0.00567187  0.00318434
          16     5.32037  0.00121875 0.000855781
          16     5.54677 0.000953125 0.000922859
          16     5.77317           0           0
          16     5.99957           0           0
          16     6.22597           0           0
          16     6.45237           0           0
          16     6.67877           0           0
          17    0.113199    0.175765   0.0331633
          17    0.339598     1.47656     0.12117
          17    0.565997      3.8325    0.191127
          17    0.792396     6.22785    0.278375
          17      1.0188      8.5015    0.308087
          17     1.24519     10.7908    0.311314
          17     1.47159     12.0331    0.362854
          17     1.69799     12.8742    0.393653
          17     1.92439     11.4208    0.369899
          17     2.15079     11.1155    0.336357
          17     2.37719      9.1281    0.291679
          17     2.60359     6.54956    0.314953
          17     2.82999     4.66985    0.227477
          17     3.05639     3.39218    0.168262
          17     3.28278     2.21293    0.129112
          17     3.50918     1.35851    0.110633
          17     3.73558     1.13634    0.150604
