#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.475306   -0.475306           0
           2   -0.442842   -0.459074   0.0114776
           3   -0.437268   -0.451805  0.00968357
           4   -0.339798   -0.423803   0.0253145
           5   -0.419166   -0.422876   0.0202685
           6   -0.368443   -0.413804   0.0188116
           7   -0.374862   -0.408241   0.0169268
           8   -0.392691   -0.406297   0.0149221
           9   -0.360055   -0.401159    0.014121
          10   -0.391976   -0.400241   0.0127387
          11   -0.363846   -0.396932   0.0120026
          12   -0.366846   -0.394425   0.0112612
          13   -0.356785    -0.39153   0.0107608
          14   -0.352512   -0.388743   0.0103468
          15   -0.362909    -0.38702  0.00979926
          16   -0.324268   -0.383098  0.00994074
          17   -0.368667   -0.382249  0.00939217
          18   -0.372108   -0.381686  0.00888726
          19   -0.411029    -0.38323  0.00855264
          20   -0.445625    -0.38635  0.00867537
          21   -0.456204   -0.389676  0.00887709
          22   -0.413796   -0.390773  0.00854102
          23   -0.420621   -0.392071  0.00826767
          24   -0.379747   -0.391557  0.00793912
          25   -0.349343   -0.389868  0.00779906
          26   -0.398756    -0.39021  0.00750658
          27   -0.382552   -0.389927  0.00723392
          28   -0.380423   -0.389587  0.00698352
          29    -0.39976   -0.389938  0.00675152
          30   -0.347517   -0.388524   0.0066729
          31   -0.392591   -0.388655  0.00645893
          32   -0.390638   -0.388717  0.00625739
          33   -0.390899   -0.388783  0.00606812
          34   -0.392613   -0.388896  0.00589069
          35   -0.377115   -0.388559    0.005732
          36   -0.351607   -0.387533  0.00566393
          37   -0.337119    -0.38617  0.00567237
          38   -0.373991    -0.38585  0.00553215
          39   -0.359414   -0.385172  0.00543167
          40   -0.365221   -0.384673  0.00531873
