#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.38059     1.38059           0
           2     1.35934     1.36996  0.00751307
           3     1.35575     1.36522  0.00632844
           4     1.29079     1.34662   0.0167991
           5     1.34362     1.34602     0.01345
           6     1.30991        1.34   0.0124821
           7     1.31415     1.33631   0.0112318
           8     1.32603     1.33502  0.00990102
           9     1.30424      1.3316  0.00937312
          10     1.32555       1.331  0.00845529
          11     1.30688      1.3288  0.00796584
          12     1.30883     1.32714  0.00747391
          13     1.30212     1.32521  0.00714254
          14     1.29926     1.32336  0.00686868
          15     1.30613     1.32221  0.00650611
          16     1.28042      1.3196  0.00660307
          17     1.31001     1.31904   0.0062387
          18     1.31232     1.31866  0.00590325
          19     1.33821     1.31969  0.00568147
          20     1.36127     1.32177  0.00576521
          21     1.36829     1.32399  0.00590091
          22     1.34012     1.32472  0.00567806
          23     1.34462     1.32558   0.0054967
          24     1.31741     1.32524   0.0052782
          25     1.29713     1.32412  0.00518548
          26     1.33003     1.32435  0.00499102
          27     1.31931     1.32416  0.00480965
          28     1.31779     1.32393  0.00464325
          29     1.33066     1.32416  0.00448894
          30     1.29587     1.32322   0.0044373
          31     1.32595     1.32331  0.00429503
          32     1.32461     1.32335  0.00416101
          33     1.32478     1.32339  0.00403514
          34     1.32597     1.32347  0.00391717
          35     1.31559     1.32324  0.00381171
          36      1.2987     1.32256  0.00376633
          37       1.289     1.32165  0.00377221
          38     1.31354     1.32144  0.00367897
          39     1.30385     1.32099  0.00361218
          40     1.30774     1.32066  0.00353704
