#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       -1.02       -1.02           0
           2       -1.02       -1.02           0
           3       -1.02       -1.02           0
           4       -1.02       -1.02           0
           5       -1.02       -1.02           0
           6       -1.02       -1.02           0
           7       -1.02       -1.02           0
           8       -1.02       -1.02           0
           9       -1.02       -1.02           0
          10       -1.02       -1.02           0
          11       -1.02       -1.02           0
          12       -1.02       -1.02           0
          13       -1.02       -1.02           0
          14       -1.02       -1.02           0
          15       -1.02       -1.02           0
          16       -1.02       -1.02           0
          17       -1.02       -1.02           0
          18       -1.02       -1.02 4.96705e-09
          19       -1.02       -1.02 4.83458e-09
          20       -1.02       -1.02 4.71216e-09
          21       -1.02       -1.02  6.5034e-09
          22       -1.02       -1.02 6.35388e-09
          23       -1.02       -1.02 6.21421e-09
          24       -1.02       -1.02 6.08337e-09
          25       -1.02       -1.02 7.30005e-09
          26       -1.02       -1.02 7.15829e-09
          27       -1.02       -1.02 7.02447e-09
          28       -1.02       -1.02  6.8979e-09
          29       -1.02       -1.02 6.77792e-09
          30       -1.02       -1.02   6.664e-09
          31       -1.02       -1.02 6.55564e-09
          32       -1.02       -1.02 6.45239e-09
          33       -1.02       -1.02 6.35388e-09
          34       -1.02       -1.02 5.71433e-09
          35       -1.02       -1.02 5.63211e-09
          36       -1.02       -1.02 4.96705e-09
          37       -1.02       -1.02  6.0006e-09
          38       -1.02       -1.02 5.92112e-09
          39       -1.02       -1.02 5.33547e-09
          40       -1.02       -1.02 5.26836e-09
