#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.3696     -0.3696           0
           2     -0.4424      -0.406   0.0257387
           3      -0.364      -0.392    0.020618
           4     -0.3608     -0.3842   0.0168745
           5     -0.4392     -0.3952   0.0167045
           6     -0.4432     -0.4032   0.0157198
           7     -0.2864   -0.386514   0.0204986
           8      -0.516     -0.4027   0.0234721
           9     -0.5176   -0.415467   0.0240871
          10     -0.2744    -0.40136   0.0254765
          11       -0.52   -0.412145   0.0253408
          12     -0.4392     -0.4144   0.0233291
          13     -0.6816   -0.434954   0.0292182
          14     -0.6872   -0.452971    0.032211
          15     -0.6864   -0.468533   0.0336132
          16      -0.524      -0.472   0.0316906
          17     -0.4384   -0.470024    0.029888
          18       -0.52     -0.4728   0.0283563
          19       -0.52   -0.475284   0.0269724
          20     -0.4416     -0.4736   0.0256763
          21     -0.5272   -0.476152   0.0245802
          22     -0.5248   -0.478364   0.0235621
          23      -0.528   -0.480522   0.0226363
          24     -0.3648     -0.4757   0.0222007
          25      -0.608   -0.480992   0.0219344
          26      -0.524   -0.482646    0.021153
          27     -0.5232   -0.484148   0.0204228
          28     -0.4432   -0.482686   0.0197457
          29     -0.6016   -0.486786    0.019486
          30     -0.3608   -0.482587   0.0192837
          31     -0.3648   -0.478787   0.0190322
          32     -0.2048   -0.470225   0.0202721
          33     -0.3608   -0.466909   0.0199272
          34      -0.124   -0.456824   0.0217441
          35      -0.364   -0.454171   0.0212839
          36     -0.4416   -0.453822   0.0206956
          37     -0.6048   -0.457903   0.0205346
          38     -0.4416   -0.457474   0.0199987
          39     -0.6024    -0.46119   0.0198281
          40     -0.3592    -0.45864   0.0194957
          41     -0.4392   -0.458166   0.0190259
          42       -0.52   -0.459638   0.0186298
          43     -0.5936   -0.462753   0.0184552
          44     -0.5152   -0.463945   0.0180742
          45      -0.356   -0.461547    0.017831
          46     -0.6008   -0.464574   0.0176985
          47     -0.6056   -0.467574   0.0175745
          48     -0.5232   -0.468733   0.0172465
          49     -0.3608   -0.466531   0.0170346
          50     -0.4424   -0.466048   0.0167008
          51     -0.6008    -0.46869    0.016581
          52     -0.5192   -0.469662   0.0162905
          53       -0.36   -0.467592    0.016114
          54     -0.2776   -0.464074   0.0161952
          55     -0.3576   -0.462138    0.016016
          56      -0.356   -0.460243   0.0158418
          57     -0.4392   -0.459874   0.0155681
          58     -0.5248   -0.460993   0.0153399
          59       -0.44   -0.460637    0.015084
          60     -0.5224   -0.461667   0.0148677
          61     -0.3632   -0.460052   0.0147114
          62     -0.3648   -0.458516   0.0145541
          63      -0.444   -0.458286   0.0143249
          64     -0.3648   -0.456825   0.0141753
          65     -0.5256   -0.457883   0.0139967
          66     -0.2008   -0.453988   0.0143164
          67     -0.4376   -0.453743   0.0141048
          68     -0.2776   -0.451153   0.0141332
          69     -0.1944   -0.447432   0.0144099
          70     -0.4368    -0.44728   0.0142048
          71     -0.5216   -0.448327   0.0140433
          72     -0.2808      -0.446   0.0140397
          73       -0.52   -0.447014   0.0138839
          74     -0.4424   -0.446951   0.0136964
          75     -0.5224   -0.447957   0.0135507
          76     -0.4424   -0.447884   0.0133726
          77     -0.3592   -0.446732   0.0132484
          78     -0.6032   -0.448738   0.0132296
          79     -0.5208   -0.449651   0.0130935
          80     -0.5216    -0.45055   0.0129607
          81     -0.5184   -0.451388   0.0128277
          82     -0.5192   -0.452215   0.0126979
          83     -0.5176   -0.453002   0.0125694
          84     -0.3528    -0.45181   0.0124762
          85     -0.2016   -0.448866   0.0126719
          86     -0.6904   -0.451674    0.012832
          87     -0.6864   -0.454372   0.0129651
          88      -0.444   -0.454255   0.0128183
          89     -0.5232   -0.455029   0.0126976
          90     -0.2832    -0.45312   0.0126993
          91     -0.5248   -0.453908   0.0125841
          92       -0.52   -0.454626   0.0124678
          93     -0.4416   -0.454486   0.0123346
          94     -0.3624   -0.453506   0.0122422
          95     -0.6016   -0.455065   0.0122122
          96     -0.5176   -0.455717   0.0121023
          97     -0.5192   -0.456371   0.0119952
