#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1         250         250           0
           2         250         250           0
           3         250         250           0
           4         250         250           0
           5         250         250           0
           6         250         250           0
           7         250         250           0
           8         250         250           0
           9         250         250           0
          10         250         250           0
          11         250         250           0
          12         250         250           0
          13         250         250           0
          14         250         250           0
          15         250         250           0
          16         250         250           0
          17         250         250           0
          18         250         250           0
          19         250         250           0
          20         250         250           0
          21         250         250           0
          22         250         250           0
          23         250         250           0
          24         250         250           0
          25         250         250           0
          26         250         250           0
          27         250         250           0
          28         250         250           0
          29         250         250           0
          30         250         250           0
          31         250         250           0
          32         250         250           0
          33         250         250           0
          34         250         250           0
          35         250         250           0
          36         250         250           0
          37         250         250           0
          38         250         250           0
          39         250         250           0
          40         250         250           0
          41         250         250           0
          42         250         250           0
          43         250         250           0
          44         250         250           0
          45         250         250           0
          46         250         250           0
          47         250         250           0
          48         250         250           0
          49         250         250           0
          50         250         250           0
