#   N_BLOCK:  ACCEPTANCE:
           1    0.035846
           2    0.027457
           3   0.0262007
           4    0.026752
           5   0.0273796
           6   0.0279737
           7   0.0287929
           8   0.0283263
           9   0.0275811
          10    0.027651
          11    0.027536
          12   0.0275385
          13   0.0274851
          14   0.0280919
          15   0.0278057
          16   0.0275821
          17   0.0276131
          18   0.0271781
          19   0.0269569
          20   0.0265825
          21   0.0263318
          22    0.026129
          23   0.0258847
          24   0.0260702
          25   0.0261449
          26   0.0261917
          27   0.0260602
          28   0.0264606
          29   0.0264744
          30   0.0260869
          31   0.0260372
          32   0.0257901
          33   0.0255387
          34   0.0254245
          35   0.0257634
          36   0.0258699
          37   0.0257392
          38   0.0257931
          39   0.0258854
          40   0.0259715
          41   0.0259233
          42   0.0259252
          43   0.0259134
          44   0.0259516
          45   0.0258515
          46   0.0259947
          47    0.025889
          48   0.0258353
          49   0.0258799
          50   0.0260928
