#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.06802     0.06802           0
           2    0.114256    0.091138   0.0163469
           3    0.508336    0.230204    0.114069
           4   -0.202836    0.121944    0.126922
           5   -0.080724   0.0814104    0.107816
           6    0.147532   0.0924307   0.0904081
           7    0.007412   0.0802851   0.0783042
           8   -0.186964    0.046879   0.0753057
           9   -0.278512   0.0107244   0.0751176
          10    0.520688   0.0617208   0.0831331
          11    0.369184    0.089672   0.0801368
          12    0.267112    0.104459   0.0748105
          13   -0.004076   0.0961098   0.0695202
          14    0.036752     0.09187   0.0646836
          15   -0.358004   0.0618784   0.0669644
          16    0.357536    0.080357   0.0652789
          17     0.41758    0.100194   0.0643824
          18    -0.36628   0.0742784    0.065815
          19    0.234132   0.0826918   0.0628865
          20    0.547212    0.105918   0.0638874
          21     0.17142    0.109037   0.0609212
          22    0.626424    0.132555   0.0625268
          23      0.3091     0.14023   0.0602776
          24   -0.084788    0.130855   0.0584906
          25   -0.063468    0.123082   0.0566651
          26    0.007252    0.118627   0.0546605
          27   -0.118976    0.109827   0.0533398
          28    0.328148    0.117624   0.0520015
          29     0.35566    0.125832   0.0508521
          30    -0.43994    0.106973   0.0525378
          31    0.314928    0.113681   0.0512695
          32   -0.688672   0.0886076   0.0554606
          33    -0.61654   0.0672395   0.0577499
          34    0.297576   0.0740141   0.0564473
          35    0.610236   0.0893347   0.0568757
          36   -0.452532   0.0742829   0.0572528
          37    0.469608   0.0849674   0.0566937
          38    0.370804   0.0924894   0.0556985
          39    0.077788   0.0921124   0.0542716
          40   -0.284456   0.0826982   0.0537251
          41    0.312428   0.0883014   0.0527061
          42    0.531616   0.0988565   0.0524975
          43    0.476152    0.107631   0.0520047
          44    0.209016    0.109935   0.0508738
          45   -0.042756    0.106542   0.0498563
          46   -0.232932    0.099162   0.0493156
          47    0.356372    0.104635   0.0485691
          48   -0.117544    0.100006   0.0477773
          49    0.796712    0.114224   0.0488721
          50      0.4497    0.120934   0.0483531
