#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.389371    0.389371           0
           2    0.255418    0.322395   0.0473596
           3    0.321014    0.321935   0.0315753
           4    0.328978    0.323696   0.0237305
           5    0.352164    0.329389   0.0196556
           6     0.38336    0.338384   0.0183227
           7    0.366177    0.342355   0.0161296
           8    0.327878    0.340545   0.0142145
           9    0.302481    0.336316   0.0132494
          10    0.342129    0.336897   0.0119372
          11    0.322557    0.335593    0.010923
          12    0.356289    0.337318    0.010148
          13    0.350127    0.338303  0.00941506
          14    0.384819    0.341626  0.00931037
          15    0.302796    0.339037  0.00904239
          16    0.319739    0.337831   0.0085573
          17    0.372129    0.339849  0.00828835
          18    0.278208    0.336424  0.00850597
          19    0.292375    0.334106  0.00836827
          20    0.276344    0.331218  0.00843352
          21    0.289797    0.329245  0.00825935
          22    0.282016    0.327099  0.00815816
          23    0.288635    0.325426  0.00797302
          24     0.35844    0.326802  0.00775857
          25    0.343239    0.327459  0.00747603
          26    0.338153    0.327871   0.0071998
          27    0.275225    0.325921  0.00719232
          28    0.379207    0.327824  0.00718281
          29    0.373465    0.329398  0.00710546
          30    0.213014    0.325518   0.0078566
          31    0.300428    0.324709  0.00764474
          32    0.251501    0.322421  0.00774059
          33    0.254633    0.320367  0.00777381
          34    0.274788    0.319026  0.00765989
          35    0.387004    0.320969  0.00768332
          36    0.340731    0.321518  0.00748948
          37    0.289516    0.320653  0.00733683
          38     0.33985    0.321158  0.00716113
          39    0.370903    0.322433   0.0070902
          40    0.366851    0.323544  0.00699936
          41    0.321792    0.323501  0.00682877
          42    0.312299    0.323234  0.00667139
          43    0.316114    0.323069  0.00651829
          44    0.356439    0.323827  0.00641412
          45    0.286005    0.322987  0.00632641
          46    0.387053    0.324379  0.00634034
          47    0.288901    0.323625  0.00625021
          48    0.298247    0.323096  0.00614232
          49    0.368412    0.324021  0.00608619
          50     0.39468    0.325434  0.00612633
