#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     69.6259     69.6259           0
           2     86.2668     77.9464     5.88345
           3     81.6693     79.1874     4.05106
           4     76.7657     78.5819     3.08321
           5     75.2859     77.9227     2.53606
           6     75.0034     77.4362     2.15955
           7     72.0379      76.665     1.98397
           8     79.6407      77.037      1.7705
           9     82.8254     77.6801     1.68655
          10     77.4174     77.6538      1.5181
          11     76.3777     77.5378     1.38452
          12     77.7076      77.552     1.26921
          13     77.4595     77.5449      1.1716
          14      69.051     76.9382     1.23505
          15     81.7539     77.2592     1.19372
          16      80.384     77.4545     1.13497
          17      76.822     77.4173     1.06882
          18     85.0286     77.8402     1.08988
          19     81.3276     78.0237     1.04786
          20     85.0987     78.3775     1.05349
          21     84.2787     78.6585     1.04012
          22     83.3068     78.8697     1.01408
          23     84.8718     79.1307       1.003
          24     73.0955     78.8792    0.992234
          25     76.6004     78.7881    0.956723
          26     78.4025     78.7733    0.920041
          27     81.1711     78.8621    0.890241
          28     68.9174     78.5069    0.926591
          29     78.8622     78.5192     0.89472
          30     89.0264     78.8694    0.930927
          31     80.1069     78.9093    0.901752
          32     86.9985     79.1621    0.908313
          33     87.4086      79.412    0.914518
          34     82.2046     79.4941    0.891301
          35     68.6447     79.1841    0.918159
          36     74.9421     79.0663    0.900184
          37     83.5941     79.1887    0.884134
          38     77.0698     79.1329    0.862624
          39     76.2182     79.0582    0.843737
          40     76.6583     78.9982    0.824774
          41     81.0055     79.0471    0.806109
          42     78.9334     79.0444     0.78692
          43     78.8054     79.0389     0.76864
          44     77.9139     79.0133    0.751596
          45     84.1765     79.1281      0.7436
          46     73.3805     79.0031    0.737857
          47     84.2226     79.1142    0.730467
          48     82.2062     79.1786    0.718084
          49     79.4591     79.1843    0.703452
          50     68.3215      78.967    0.722153
