#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.964528   -0.964528           0
           2   -0.981144   -0.972836  0.00587464
           3   -0.976552   -0.974075  0.00404491
           4   -0.971808   -0.973508  0.00307312
           5   -0.969624   -0.972731  0.00255479
           6     -0.9688   -0.972076  0.00221141
           7    -0.96656   -0.971288  0.00203104
           8   -0.975104   -0.971765  0.00183232
           9   -0.978328   -0.972494  0.00176789
          10   -0.971896   -0.972434  0.00159211
          11   -0.973624   -0.972543  0.00145104
          12    -0.97256   -0.972544  0.00133012
          13   -0.973112   -0.972588  0.00122852
          14   -0.964048   -0.971978   0.0012833
          15   -0.976048   -0.972249   0.0012261
          16   -0.975472   -0.972451   0.0011659
          17   -0.971832   -0.972414  0.00109788
          18    -0.97996   -0.972833  0.00111405
          19   -0.977192   -0.973063  0.00107878
          20     -0.9806    -0.97344  0.00108868
          21   -0.978624   -0.973686  0.00106446
          22   -0.978256   -0.973894  0.00103614
          23   -0.979184   -0.974124   0.0010163
          24   -0.969656   -0.973938 0.000990859
          25   -0.971824   -0.973853 0.000954826
          26   -0.972552   -0.973803 0.000919413
          27    -0.97756   -0.973943 0.000895826
          28   -0.963528   -0.973571 0.000937876
          29   -0.973104   -0.973554 0.000905673
          30   -0.985296   -0.973946  0.00095632
          31   -0.975736   -0.974004 0.000927212
          32   -0.981984   -0.974253 0.000931171
          33   -0.982552   -0.974504 0.000936298
          34    -0.97868   -0.974627 0.000916779
          35   -0.962832    -0.97429 0.000950511
          36   -0.970432   -0.974183 0.000930131
          37   -0.978696   -0.974305 0.000912954
          38    -0.97252   -0.974258 0.000890137
          39    -0.97092   -0.974173 0.000871418
          40   -0.970792   -0.974088 0.000853721
          41      -0.976   -0.974135 0.000834171
          42   -0.974448   -0.974142 0.000814343
          43   -0.974672   -0.974154 0.000795498
          44   -0.972376   -0.974114 0.000778445
          45   -0.978992   -0.974222 0.000768657
          46   -0.967072   -0.974067 0.000767503
          47    -0.97888   -0.974169 0.000757974
          48   -0.976856   -0.974225 0.000744247
          49   -0.972232   -0.974185 0.000730169
          50     -0.9638   -0.973977 0.000744519
