# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438 2.43154e-06 2.40095e-06
    0.872088  0.00122197 8.78641e-05
    0.897737   0.0240001 0.000366809
    0.923387    0.162761  0.00131481
    0.949037    0.561256  0.00227456
    0.974686     1.19246  0.00306987
     1.00034      1.8569  0.00337121
     1.02599     2.33244  0.00386625
     1.05164     2.55086  0.00353074
     1.07728     2.54602  0.00273435
     1.10293     2.41012  0.00277597
     1.12858     2.19683  0.00280032
     1.15423     1.97783  0.00302067
     1.17988     1.76291   0.0031263
     1.20553     1.56366  0.00276874
     1.23118      1.3932  0.00219683
     1.25683     1.25053   0.0023686
     1.28248     1.13023  0.00233064
     1.30813     1.02625  0.00214265
     1.33378    0.946999   0.0014773
     1.35943    0.873859  0.00123048
     1.38508     0.81975  0.00194915
     1.41073    0.773951  0.00163853
     1.43638    0.737259  0.00178835
     1.46203    0.710102  0.00154108
     1.48768    0.688533   0.0013553
     1.51333    0.674769  0.00159066
     1.53898    0.670145  0.00176897
     1.56463    0.667995  0.00177079
     1.59028    0.673934  0.00168973
     1.61593    0.683447  0.00155524
     1.64158    0.701655  0.00143083
     1.66723    0.720692   0.0013273
     1.69288    0.746299  0.00141021
     1.71853    0.777403  0.00147411
     1.74418    0.813834  0.00134697
     1.76983    0.851028  0.00174374
     1.79547    0.893008  0.00164237
     1.82112    0.936686  0.00188041
     1.84677    0.976409  0.00195974
     1.87242     1.01851  0.00196669
     1.89807      1.0587  0.00171762
     1.92372     1.09582  0.00163997
     1.94937      1.1313  0.00149963
     1.97502     1.15985  0.00144268
     2.00067     1.18447  0.00148514
     2.02632     1.20584  0.00143932
     2.05197     1.21535  0.00133201
     2.07762     1.21643  0.00141204
     2.10327     1.21139  0.00148586
     2.12892     1.19696  0.00181857
     2.15457     1.17792  0.00142045
     2.18022     1.15363  0.00138681
     2.20587     1.12537  0.00149335
     2.23152     1.09932  0.00151532
     2.25717     1.06678  0.00144113
     2.28282     1.04183  0.00147113
     2.30847     1.01406  0.00144804
     2.33412    0.988733  0.00149178
     2.35977    0.966327    0.001531
     2.38542    0.947364  0.00142052
     2.41107     0.93037  0.00153398
     2.43672    0.917269  0.00140693
     2.46237    0.908203  0.00132763
     2.48802    0.892604   0.0010906
     2.51366     0.88376   0.0012503
     2.53931    0.883896  0.00106571
