# Particle velocities at the initial measurement
# Index    vx          vy          vz
       0     1.69801     1.11951    0.826893
       1     1.50142    -1.64221     2.22114
       2   0.0693388   -0.605118   -0.832295
       3     2.68165    0.124434    0.682602
       4     1.93053    0.238975      1.5505
       5      2.9836   -0.370751    -1.20572
       6    -1.61149   -0.351127    0.481418
       7   -0.176637    0.500508    0.377223
       8     3.52734   -0.573745    0.163876
       9    -2.27283    0.955658     0.94074
      10   -0.510909    -2.65943     -1.6101
      11    -1.42108   -0.309994   -0.495854
      12    -1.35564  -0.0448788     1.50533
      13     1.48984    0.790097   0.0919938
      14    0.783369     2.10403     1.30013
      15   -0.438436    -1.55019     1.20787
      16    0.883972     1.14826     1.09149
      17    0.330878     -1.9631    -1.21864
      18   -0.434977     2.68351   -0.829847
      19    0.474578    0.112409  -0.0811392
      20   -0.399956   0.0911634    0.651028
      21    -1.79062     2.05511     1.52196
      22    0.446929    -2.47997     2.47061
      23     2.97748    0.249008     1.08018
      24    -1.24348   -0.683047    -1.14094
      25     -2.3913    0.356151   -0.562437
      26   -0.254543     -1.8876   -0.647824
      27   -0.370445    0.785071  -0.0095022
      28   -0.967508    -1.11815     1.35028
      29    -1.78312    -1.60767    0.360878
      30    -1.47762     1.00849    -1.60801
      31    -2.42749   -0.406782  -0.0345361
      32    -1.02288    -2.03123     4.65632
      33    -2.26588    -1.39823    0.591446
      34    -1.06641    -0.47988   -0.285241
      35    -2.04746     2.10545     1.04454
      36     1.36306    -1.75239     0.90095
      37    0.395797    -2.02459    0.400628
      38  -0.0234247    -2.86168   0.0304084
      39   -0.313228     1.92985    0.396514
      40     1.50745    0.699594     1.18642
      41    0.504184     1.95994    -1.33034
      42    -1.02073     3.15379    -1.16596
      43   -0.469089    0.601072    -2.01352
      44    -2.95135      1.0168   -0.768792
      45     3.21975     1.34714    0.959318
      46   0.0811449    0.960353    -1.80213
      47     -1.2623    0.565212    0.453924
      48   -0.930383     3.74829    0.365992
      49     1.23784    0.457021     -2.1635
      50    -2.49535   -0.442974    -1.87792
      51    -1.23448     1.07841    -2.51529
      52     1.86296    -4.00516       -4.72
      53     0.82675     2.13327    -0.61236
      54     1.16108   -0.723899    0.569205
      55   0.0446136   -0.412005     1.79584
      56   0.0430941   -0.222334    -1.50214
      57    0.441694    0.785265   -0.984222
      58    -1.57068   -0.889413   -0.983924
      59    -1.39751    0.340248   -0.170048
      60   -0.675562     2.31511     1.42306
      61     1.43191   -0.477336    -1.43857
      62    -2.00351  -0.0452964    -2.13792
      63   -0.219117     -1.6758    -0.50929
      64   -0.533069    -1.48441     2.10037
      65     0.15895    -1.16337    -1.73526
      66    0.594304    -2.41476    -1.30667
      67    0.594061      1.5996     -1.9434
      68    -1.32169  -0.0736959     -1.1427
      69    -1.88059    0.230737    0.274847
      70     -1.1536   -0.585703    0.877541
      71   -0.695029     1.87363     1.19991
      72    0.640995    0.140084   0.0998213
      73   -0.300016    0.580068     1.92786
      74    0.476687     2.25733   -0.369133
      75   -0.653856    -1.42011   -0.630865
      76     1.76043    -2.09882     1.64583
      77   -0.317806    -1.83695    0.355204
      78      2.3949     3.09151    0.601353
      79     1.19092    0.869674   -0.587435
      80    -1.83542   -0.584234    -1.53775
      81    0.678788   -0.555639   -0.648856
      82     1.00143   -0.782604    -0.68799
      83   -0.313428   -0.954376  -0.0115163
      84   -0.190202   -0.539528    0.758865
      85    -1.87179   -0.357647   -0.422351
      86     1.19058    0.807261    0.326726
      87    -1.29302     1.91782    -1.10806
      88    -1.70588     1.88177   -0.191148
      89    -1.50789    -2.07884     1.19292
      90    0.935537   -0.692258    -1.49449
      91     1.16909   -0.498579     2.82506
      92    0.848389   -0.837733   -0.644472
      93   -0.729408     1.66913    0.366351
      94     2.56691     1.59373    -1.35479
      95   -0.157564    0.504578     -1.7668
      96  -0.0184435     0.19426   -0.974968
      97  -0.0812758     1.33133   -0.359624
      98     1.46974    -1.76419     2.08463
      99     1.98645     0.42479    -1.84499
     100    0.957115     -1.1312     1.97855
     101   0.0787433     1.97653   0.0280943
     102      0.8778    -0.12189     1.73622
     103    -1.06774   -0.430489     1.96243
     104     1.81528     1.36514   -0.497159
     105     1.21617    -1.16752    0.192461
     106   -0.420179    -2.28206   -0.533103
     107     1.84179   -0.275565     1.86577
