# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438 8.55901e-06 1.29026e-06
    0.872088  0.00127727  1.5298e-05
    0.897737   0.0258257  6.6291e-05
    0.923387    0.174823 0.000161605
    0.949037    0.585191 0.000281805
    0.974686       1.233 0.000396824
     1.00034     1.88505 0.000479593
     1.02599     2.34158 0.000523512
     1.05164     2.54806 0.000533295
     1.07728     2.53989 0.000519622
     1.10293     2.39177  0.00049452
     1.12858      2.1858 0.000470249
     1.15423      1.9602 0.000441051
     1.17988     1.74164 0.000413927
     1.20553      1.5491 0.000401364
     1.23118     1.38202  0.00035287
     1.25683     1.24084 0.000327299
     1.28248     1.12056 0.000304303
     1.30813     1.01797 0.000285109
     1.33378    0.936178 0.000267344
     1.35943    0.869303 0.000251369
     1.38508    0.814935 0.000239662
     1.41073    0.772008 0.000229621
     1.43638    0.737563 0.000222327
     1.46203    0.711532 0.000213794
     1.48768    0.693303  0.00020629
     1.51333    0.682018 0.000202877
     1.53898    0.674828  0.00019739
     1.56463    0.673119 0.000194095
     1.59028    0.679601 0.000192199
     1.61593     0.68957 0.000189933
     1.64158     0.70607 0.000189473
     1.66723    0.727856 0.000189645
     1.69288    0.754051 0.000193162
     1.71853    0.785351 0.000191896
     1.74418    0.817819 0.000192326
     1.76983    0.855478 0.000193644
     1.79547    0.897725 0.000195085
     1.82112    0.939006 0.000197179
     1.84677    0.979659 0.000199131
     1.87242     1.01968 0.000199356
     1.89807     1.06034 0.000200473
     1.92372      1.0974 0.000200874
     1.94937     1.13283  0.00020016
     1.97502     1.16219 0.000199321
     2.00067     1.18731 0.000200834
     2.02632     1.20495 0.000199686
     2.05197     1.21297 0.000198648
     2.07762     1.21221 0.000221398
     2.10327     1.20542 0.000197057
     2.12892     1.19202 0.000190475
     2.15457      1.1714 0.000185213
     2.18022     1.14669 0.000182482
     2.20587     1.11949 0.000179252
     2.23152     1.09229 0.000172305
     2.25717     1.06283 0.000171291
     2.28282     1.03513 0.000166246
     2.30847     1.00806 0.000160881
     2.33412    0.982273 0.000157673
     2.35977    0.961336 0.000154017
     2.38542     0.94006 0.000150176
     2.41107    0.924726 0.000150817
     2.43672     0.91243  0.00014464
     2.46237    0.903169 0.000143188
     2.48802    0.897643  0.00014064
     2.51366    0.893016 0.000139719
     2.53931    0.892201 0.000137602
