# Particle velocities at the initial measurement
# Index    vx          vy          vz
       0  -0.0676182    -1.72426   -0.135236
       1  -0.0676182     1.92712   -0.135236
       2    -1.89331    0.101427   -0.135236
       3  -0.0676182    0.101427     1.69045
       4  -0.0676182    0.101427    -1.96093
       5  -0.0676182    -1.72426   -0.135236
       6  -0.0676182    0.101427    -1.96093
       7    -1.89331    0.101427   -0.135236
       8     1.75807    0.101427   -0.135236
       9  -0.0676182    -1.72426   -0.135236
      10     1.75807    0.101427   -0.135236
      11    -1.89331    0.101427   -0.135236
      12  -0.0676182     1.92712   -0.135236
      13  -0.0676182    0.101427    -1.96093
      14  -0.0676182    0.101427    -1.96093
      15  -0.0676182     1.92712   -0.135236
      16     1.75807    0.101427   -0.135236
      17  -0.0676182    -1.72426   -0.135236
      18  -0.0676182    -1.72426   -0.135236
      19     1.75807    0.101427   -0.135236
      20     1.75807    0.101427   -0.135236
      21     1.75807    0.101427   -0.135236
      22    -1.89331    0.101427   -0.135236
      23  -0.0676182    -1.72426   -0.135236
      24  -0.0676182    -1.72426   -0.135236
      25  -0.0676182    0.101427    -1.96093
      26  -0.0676182    0.101427     1.69045
      27  -0.0676182     1.92712   -0.135236
      28  -0.0676182    0.101427    -1.96093
      29  -0.0676182    0.101427     1.69045
      30  -0.0676182     1.92712   -0.135236
      31  -0.0676182    -1.72426   -0.135236
      32  -0.0676182    -1.72426   -0.135236
      33  -0.0676182    -1.72426   -0.135236
      34    -1.89331    0.101427   -0.135236
      35    -1.89331    0.101427   -0.135236
      36  -0.0676182    0.101427    -1.96093
      37    -1.89331    0.101427   -0.135236
      38  -0.0676182    0.101427    -1.96093
      39  -0.0676182    -1.72426   -0.135236
      40  -0.0676182     1.92712   -0.135236
      41  -0.0676182     1.92712   -0.135236
      42    -1.89331    0.101427   -0.135236
      43  -0.0676182    -1.72426   -0.135236
      44  -0.0676182    0.101427     1.69045
      45  -0.0676182    0.101427     1.69045
      46  -0.0676182    0.101427     1.69045
      47  -0.0676182    0.101427     1.69045
      48     1.75807    0.101427   -0.135236
      49  -0.0676182    0.101427     1.69045
      50     1.75807    0.101427   -0.135236
      51     1.75807    0.101427   -0.135236
      52  -0.0676182    0.101427     1.69045
      53  -0.0676182    0.101427    -1.96093
      54    -1.89331    0.101427   -0.135236
      55  -0.0676182     1.92712   -0.135236
      56    -1.89331    0.101427   -0.135236
      57     1.75807    0.101427   -0.135236
      58     1.75807    0.101427   -0.135236
      59     1.75807    0.101427   -0.135236
      60    -1.89331    0.101427   -0.135236
      61  -0.0676182    0.101427     1.69045
      62     1.75807    0.101427   -0.135236
      63  -0.0676182    0.101427     1.69045
      64  -0.0676182     1.92712   -0.135236
      65  -0.0676182    0.101427    -1.96093
      66  -0.0676182    0.101427     1.69045
      67  -0.0676182     1.92712   -0.135236
      68  -0.0676182     1.92712   -0.135236
      69  -0.0676182    -1.72426   -0.135236
      70  -0.0676182    0.101427    -1.96093
      71    -1.89331    0.101427   -0.135236
      72     1.75807    0.101427   -0.135236
      73  -0.0676182     1.92712   -0.135236
      74  -0.0676182    0.101427     1.69045
      75  -0.0676182    -1.72426   -0.135236
      76  -0.0676182    0.101427     1.69045
      77  -0.0676182     1.92712   -0.135236
      78    -1.89331    0.101427   -0.135236
      79  -0.0676182    0.101427    -1.96093
      80  -0.0676182    0.101427    -1.96093
      81  -0.0676182    0.101427    -1.96093
      82  -0.0676182    0.101427     1.69045
      83     1.75807    0.101427   -0.135236
      84     1.75807    0.101427   -0.135236
      85  -0.0676182    0.101427     1.69045
      86  -0.0676182    0.101427     1.69045
      87  -0.0676182    -1.72426   -0.135236
      88  -0.0676182    -1.72426   -0.135236
      89     1.75807    0.101427   -0.135236
      90  -0.0676182    0.101427     1.69045
      91  -0.0676182    0.101427     1.69045
      92  -0.0676182    -1.72426   -0.135236
      93  -0.0676182    -1.72426   -0.135236
      94     1.75807    0.101427   -0.135236
      95  -0.0676182    0.101427     1.69045
      96    -1.89331    0.101427   -0.135236
      97  -0.0676182    -1.72426   -0.135236
      98  -0.0676182     1.92712   -0.135236
      99  -0.0676182    -1.72426   -0.135236
     100  -0.0676182    0.101427     1.69045
     101     1.75807    0.101427   -0.135236
     102  -0.0676182     1.92712   -0.135236
     103    -1.89331    0.101427   -0.135236
     104  -0.0676182    -1.72426   -0.135236
     105  -0.0676182     1.92712   -0.135236
     106  -0.0676182    -1.72426   -0.135236
     107  -0.0676182    0.101427     1.69045
