# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438  6.8083e-06 6.77417e-06
    0.872088  0.00143702 0.000136225
    0.897737   0.0271242 0.000722552
    0.923387    0.174591  0.00176078
    0.949037    0.578186  0.00273777
    0.974686     1.23264  0.00524934
     1.00034     1.87682  0.00574598
     1.02599     2.33279  0.00630363
     1.05164     2.54276  0.00730756
     1.07728      2.5431  0.00664067
     1.10293     2.38649  0.00633885
     1.12858     2.18741  0.00605674
     1.15423     1.96118  0.00600827
     1.17988     1.74099  0.00658772
     1.20553     1.55527  0.00655222
     1.23118     1.38965  0.00507896
     1.25683     1.25684  0.00469139
     1.28248     1.12764  0.00482558
     1.30813     1.02335  0.00424673
     1.33378     0.94318  0.00366914
     1.35943    0.869414  0.00328935
     1.38508    0.812658  0.00310186
     1.41073    0.771358  0.00291489
     1.43638    0.735264  0.00308655
     1.46203    0.707471  0.00317042
     1.48768     0.69047  0.00318558
     1.51333     0.67831   0.0033413
     1.53898    0.671011  0.00288145
     1.56463    0.667669   0.0028703
     1.59028    0.676754  0.00311939
     1.61593    0.688947  0.00284066
     1.64158    0.702099  0.00266697
     1.66723    0.724366   0.0029697
     1.69288    0.753639  0.00286107
     1.71853    0.788316  0.00276127
     1.74418    0.818595  0.00293816
     1.76983    0.853282  0.00328135
     1.79547    0.895454  0.00304043
     1.82112    0.938308  0.00301079
     1.84677    0.980123  0.00297435
     1.87242     1.01916  0.00298412
     1.89807     1.06107  0.00273978
     1.92372      1.0992  0.00286933
     1.94937     1.12995  0.00304734
     1.97502     1.16112  0.00283722
     2.00067     1.18731  0.00310513
     2.02632      1.2107   0.0031152
     2.05197     1.21544  0.00317456
     2.07762     1.21409  0.00380171
     2.10327     1.20185  0.00323608
     2.12892     1.19173  0.00295495
     2.15457     1.17222  0.00279729
     2.18022     1.14469  0.00295996
     2.20587     1.12157  0.00227534
     2.23152     1.09461  0.00235261
     2.25717     1.06588  0.00244699
     2.28282     1.03997  0.00240077
     2.30847     1.00985  0.00258579
     2.33412    0.984563  0.00276618
     2.35977    0.964831  0.00261251
     2.38542    0.938782  0.00255551
     2.41107    0.927036  0.00229589
     2.43672    0.913531  0.00216956
     2.46237    0.905357   0.0022472
     2.48802    0.898705  0.00210577
     2.51366    0.890469  0.00217424
     2.53931    0.887708   0.0022194
