#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.75315     1.75315           0
           2     1.67867     1.71591   0.0263328
           3     1.69349     1.70843   0.0185848
           4     1.67001     1.69883   0.0162327
           5     1.68195     1.69545   0.0133324
           6     1.65203     1.68822   0.0129258
           7     1.65598     1.68361   0.0118716
           8     1.65728     1.68032   0.0108344
           9     1.68874     1.68126   0.0096709
          10      1.6715     1.68028  0.00875283
          11     1.69588      1.6817  0.00807125
          12     1.64564     1.67869  0.00793832
          13     1.67202     1.67818  0.00734424
          14     1.67384     1.67787   0.0068262
          15     1.64837      1.6759  0.00664835
          16     1.67842     1.67606  0.00623468
          17     1.66907     1.67565  0.00588146
          18     1.64919     1.67418  0.00573547
          19     1.62742     1.67172  0.00593815
          20     1.67738       1.672    0.005648
          21     1.66118     1.67149  0.00540251
          22     1.63435      1.6698   0.0054142
          23     1.70667      1.6714  0.00541093
          24     1.66977     1.67133  0.00518591
          25     1.67236     1.67138  0.00497863
          26      1.6788     1.67166  0.00479533
          27     1.68558     1.67218  0.00464536
          28     1.69576     1.67302  0.00455515
          29     1.63252     1.67162  0.00460721
          30     1.67133     1.67161  0.00445365
          31     1.67883     1.67184  0.00431606
          32     1.68588     1.67228   0.0042034
          33     1.65994     1.67191  0.00409264
          34     1.66031     1.67157  0.00398647
          35     1.69638     1.67228  0.00393509
          36     1.68012     1.67249  0.00383182
          37     1.70047     1.67325   0.0038021
          38     1.68274      1.6735  0.00371024
          39      1.6291     1.67236  0.00378575
          40     1.64445     1.67166  0.00375486
          41     1.64488     1.67101  0.00371966
          42     1.68078     1.67124  0.00363836
          43     1.66856     1.67118  0.00355428
          44     1.65593     1.67083  0.00349035
          45     1.66796     1.67077  0.00341337
          46     1.67827     1.67093  0.00334307
          47     1.67996     1.67113  0.00327745
          48     1.65566      1.6708  0.00322498
          49     1.66423     1.67067  0.00316195
          50     1.68062     1.67087  0.00310498
          51      1.6831     1.67111  0.00305334
          52     1.68182     1.67131  0.00300156
          53     1.67724     1.67143  0.00294701
          54     1.65871     1.67119  0.00290183
          55     1.64715     1.67075  0.00288179
          56     1.68503     1.67101  0.00284158
          57     1.64493     1.67055  0.00282832
          58     1.65403     1.67027  0.00279386
          59     1.69177     1.67063  0.00277018
          60     1.64428     1.67019  0.00275861
          61     1.66505     1.67011  0.00271467
          62     1.69204     1.67046  0.00269383
          63     1.68762     1.67073  0.00266481
          64     1.62655     1.67004  0.00271112
          65     1.67925     1.67018  0.00267311
          66     1.63845      1.6697   0.0026755
          67     1.64771     1.66938  0.00265563
          68     1.68931     1.66967  0.00263271
          69     1.70003     1.67011  0.00263107
          70     1.69437     1.67046  0.00261621
          71      1.6658     1.67039  0.00258018
          72     1.67357     1.67043  0.00254473
          73     1.65348      1.6702  0.00252044
          74     1.67391     1.67025  0.00248688
          75     1.63976     1.66985  0.00248673
          76     1.62848      1.6693  0.00251288
          77      1.6756     1.66938  0.00248157
          78     1.67778     1.66949  0.00245209
          79     1.67304     1.66954  0.00242146
          80     1.68226     1.66969  0.00239642
          81     1.67732     1.66979  0.00236868
          82     1.68325     1.66995  0.00234548
          83     1.63969     1.66959  0.00234539
          84     1.65751     1.66944  0.00232187
          85     1.65257     1.66925  0.00230303
          86     1.69398     1.66953  0.00229414
          87     1.65651     1.66938  0.00227265
          88     1.64178     1.66907  0.00226837
          89     1.66182     1.66899  0.00224434
          90      1.6943     1.66927  0.00223696
          91     1.65132     1.66907  0.00222106
          92     1.68135     1.66921  0.00220092
          93     1.64339     1.66893   0.0021947
          94     1.63684     1.66859  0.00219774
          95     1.66741     1.66857  0.00217464
          96     1.64053     1.66828  0.00217153
          97     1.66999      1.6683  0.00214921
          98     1.66356     1.66825  0.00212783
          99     1.66662     1.66824   0.0021064
         100     1.67164     1.66827  0.00208561
