#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.52922    -5.52922           0
           2    -5.45529    -5.49226   0.0261403
           3    -5.47112    -5.48521   0.0183514
           4    -5.44662    -5.47556    0.016101
           5    -5.45973     -5.4724   0.0131885
           6    -5.42721    -5.46487   0.0129635
           7    -5.43334    -5.46036   0.0118681
           8    -5.43333    -5.45698   0.0108548
           9     -5.4655    -5.45793  0.00968989
          10    -5.44907    -5.45704   0.0087613
          11    -5.47274    -5.45847  0.00808024
          12    -5.42159     -5.4554  0.00796999
          13    -5.44739    -5.45478  0.00738067
          14    -5.45125    -5.45453  0.00685778
          15    -5.42665    -5.45267  0.00664778
          16     -5.4576    -5.45298  0.00623943
          17    -5.44594    -5.45257  0.00588612
          18     -5.4253    -5.45105  0.00575065
          19    -5.40261     -5.4485  0.00598658
          20    -5.45574    -5.44886   0.0056982
          21    -5.43779    -5.44834   0.0054512
          22    -5.40962    -5.44658   0.0054801
          23    -5.48354    -5.44818  0.00547243
          24    -5.44724    -5.44814  0.00524455
          25    -5.44895    -5.44818  0.00503487
          26    -5.45608    -5.44848  0.00485039
          27    -5.46356    -5.44904  0.00470278
          28    -5.47371    -5.44992  0.00461662
          29     -5.4106    -5.44856  0.00465225
          30    -5.44845    -5.44856  0.00449717
          31    -5.45509    -5.44877  0.00435703
          32     -5.4612    -5.44916  0.00423815
          33     -5.4364    -5.44877  0.00412732
          34    -5.43572    -5.44839  0.00402373
          35      -5.475    -5.44915  0.00397996
          36    -5.45633    -5.44935  0.00387439
          37    -5.47772    -5.45012  0.00384482
          38    -5.46018    -5.45038  0.00375276
          39    -5.40512    -5.44922   0.0038318
          40    -5.41847    -5.44845  0.00381236
          41    -5.42126    -5.44779  0.00377664
          42    -5.45867    -5.44805   0.0036956
          43    -5.44565    -5.44799  0.00361008
          44     -5.4316    -5.44762   0.0035472
          45    -5.44433    -5.44755  0.00346913
          46    -5.45528    -5.44771  0.00339778
          47    -5.45588    -5.44789  0.00332993
          48    -5.43215    -5.44756  0.00327666
          49    -5.43926    -5.44739  0.00321417
          50    -5.45812     -5.4476  0.00315705
          51    -5.46094    -5.44787  0.00310596
          52    -5.45917    -5.44808  0.00305383
          53    -5.45597    -5.44823  0.00299983
          54    -5.43511    -5.44799  0.00295411
          55    -5.42231    -5.44752  0.00293706
          56    -5.46356    -5.44781  0.00289854
          57    -5.42419    -5.44739  0.00287714
          58    -5.43182    -5.44713  0.00284004
          59    -5.46866    -5.44749  0.00281525
          60    -5.42022    -5.44704  0.00280479
          61    -5.44077    -5.44693  0.00276069
          62    -5.46902    -5.44729  0.00273906
          63    -5.46456    -5.44756  0.00270927
          64    -5.40348    -5.44688  0.00275311
          65    -5.45747    -5.44704  0.00271557
          66    -5.41421    -5.44654   0.0027196
          67    -5.42631    -5.44624  0.00269571
          68    -5.46762    -5.44655  0.00267435
          69    -5.47629    -5.44698  0.00267008
          70    -5.47078    -5.44732  0.00265348
          71    -5.44405    -5.44728  0.00261651
          72    -5.45023    -5.44732  0.00258049
          73    -5.43112     -5.4471  0.00255467
          74    -5.45245    -5.44717  0.00252117
          75    -5.41526    -5.44674  0.00252319
          76    -5.40298    -5.44617  0.00255486
          77    -5.45323    -5.44626  0.00252332
          78    -5.45422    -5.44636  0.00249304
          79    -5.45012    -5.44641  0.00246193
          80    -5.46078    -5.44659  0.00243771
          81    -5.45454    -5.44669  0.00240959
          82    -5.46022    -5.44685  0.00238585
          83    -5.41513    -5.44647  0.00238752
          84    -5.43654    -5.44635  0.00236202
          85    -5.43041    -5.44616  0.00234167
          86    -5.47379    -5.44649  0.00233637
          87    -5.43494    -5.44635  0.00231328
          88    -5.41704    -5.44602  0.00231086
          89    -5.43868    -5.44594  0.00228637
          90    -5.46937     -5.4462  0.00227574
          91    -5.42593    -5.44598  0.00226161
          92     -5.4588    -5.44611  0.00224132
          93    -5.42074    -5.44584  0.00223376
          94    -5.41458    -5.44551  0.00223462
          95      -5.444    -5.44549  0.00221115
          96    -5.41636    -5.44519  0.00220885
          97    -5.44811    -5.44522  0.00218628
          98    -5.44237    -5.44519  0.00216417
          99    -5.44364    -5.44518  0.00214236
         100    -5.44984    -5.44522  0.00212145
