#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.06772     1.06772           0
           2     1.48798     1.27785    0.148584
           3     1.36215     1.30595    0.101679
           4     1.42286     1.33518   0.0803499
           5     1.29244     1.32663    0.064733
           6     1.57567     1.36814   0.0659219
           7     1.51598     1.38926   0.0597922
           8      1.4865     1.40141   0.0535396
           9     1.38414     1.39949   0.0476251
          10     1.49729     1.40927   0.0438552
          11     1.44625     1.41264    0.039997
          12      1.6667     1.43381   0.0418946
          13     1.52354     1.44071   0.0392365
          14     1.52363     1.44663   0.0368782
          15     1.56155     1.45429   0.0352065
          16     1.36925     1.44898   0.0334049
          17     1.45086     1.44909   0.0314401
          18      1.4999     1.45191   0.0298199
          19     1.69774     1.46485   0.0309301
          20      1.3815     1.46068    0.029663
          21      1.5582     1.46533   0.0286117
          22     1.69325     1.47569   0.0291265
          23     1.33621     1.46962   0.0284844
          24     1.47195     1.46972   0.0272977
          25     1.54227     1.47262   0.0263596
          26     1.48725     1.47318   0.0253518
          27     1.48717      1.4737   0.0244181
          28     1.38258     1.47045    0.023762
          29     1.56786     1.47381   0.0231788
          30     1.53593     1.47588   0.0224985
          31      1.4173     1.47399   0.0218519
          32     1.52788     1.47567   0.0212338
          33     1.52586     1.47719   0.0206448
          34     1.50818      1.4781   0.0200577
          35     1.28739     1.47266   0.0202112
          36     1.39815     1.47059   0.0197555
          37     1.35502     1.46746   0.0194669
          38     1.38806     1.46537   0.0190664
          39     1.66371     1.47046   0.0192438
          40     1.67238     1.47551   0.0194135
          41     1.63898     1.47949   0.0193451
          42      1.5248     1.48057   0.0189146
          43     1.59463     1.48322   0.0186598
          44     1.57653     1.48535   0.0183558
          45     1.46651     1.48493   0.0179527
          46     1.53103     1.48593   0.0175903
          47     1.49233     1.48607   0.0172166
          48     1.49553     1.48626    0.016859
          49     1.64453     1.48949   0.0168215
          50     1.47484      1.4892   0.0164877
          51     1.37249     1.48691   0.0163224
          52     1.35948     1.48446   0.0161914
          53     1.35932      1.4821   0.0160572
          54     1.58617     1.48403   0.0158751
          55     1.70444     1.48803   0.0160843
          56      1.4921     1.48811   0.0157973
          57     1.61456     1.49032   0.0156751
          58     1.55706     1.49148    0.015447
          59     1.36502     1.48933   0.0153332
          60     1.54289     1.49022   0.0151036
          61     1.59669     1.49197   0.0149565
          62     1.40726      1.4906   0.0147775
          63     1.43079     1.48965   0.0145734
          64     1.63667     1.49195   0.0145256
          65     1.44789     1.49127    0.014318
          66     1.66677     1.49393   0.0143458
          67     1.51512     1.49425   0.0141352
          68     1.41277     1.49305    0.013978
          69     1.38497     1.49148   0.0138629
          70     1.42493     1.49053   0.0136974
          71      1.4876     1.49049   0.0135046
          72     1.52192     1.49093   0.0133241
          73     1.49824     1.49103   0.0131419
          74     1.40006      1.4898   0.0130217
          75     1.56174     1.49076   0.0128833
          76     1.73232     1.49394      0.0131
          77     1.42766     1.49308   0.0129581
          78     1.38311     1.49167   0.0128685
          79     1.51394     1.49195   0.0127087
          80     1.42549     1.49112   0.0125769
          81     1.41009     1.49012   0.0124614
          82      1.3825     1.48881   0.0123783
          83     1.63622     1.49058    0.012356
          84     1.43954     1.48997   0.0122238
          85     1.46582     1.48969   0.0120833
          86     1.35491     1.48812    0.012044
          87      1.5501     1.48883   0.0119266
          88     1.63827     1.49053   0.0119113
          89     1.54995      1.4912   0.0117962
          90     1.44782     1.49072    0.011675
          91      1.5712      1.4916   0.0115801
          92     1.44784     1.49113    0.011464
          93     1.66597     1.49301   0.0114939
          94     1.62097     1.49437   0.0114519
          95     1.58584     1.49533   0.0113718
          96     1.64628      1.4969   0.0113615
          97     1.43879      1.4963   0.0112602
          98     1.42281     1.49555   0.0111702
          99     1.45015      1.4951   0.0110668
         100     1.35603     1.49371   0.0110432
