#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1 4.28408e-11 4.28408e-11           0
           2 4.28408e-11 4.28408e-11           0
           3 4.28408e-11 4.28408e-11 5.00772e-19
           4 4.28408e-11 4.28408e-11           0
           5 4.28408e-11 4.28408e-11           0
           6 4.28408e-11 4.28408e-11 2.50386e-19
           7 4.28408e-11 4.28408e-11 2.31812e-19
           8 4.28408e-11 4.28408e-11  2.1684e-19
           9 4.28408e-11 4.28408e-11 2.04439e-19
          10 4.28408e-11 4.28408e-11 1.93948e-19
          11 4.28408e-11 4.28408e-11 1.84922e-19
          12 4.28408e-11 4.28408e-11 1.77049e-19
          13 4.28408e-11 4.28408e-11           0
          14 4.28408e-11 4.28408e-11           0
          15 4.28408e-11 4.28408e-11 2.23952e-19
          16 4.28408e-11 4.28408e-11  2.1684e-19
          17 4.28408e-11 4.28408e-11 2.10366e-19
          18 4.28408e-11 4.28408e-11 2.50386e-19
          19 4.28408e-11 4.28408e-11 2.43708e-19
          20 4.28408e-11 4.28408e-11 2.37537e-19
          21 4.28408e-11 4.28408e-11 2.31812e-19
          22 4.28408e-11 4.28408e-11 2.26482e-19
          23 4.28408e-11 4.28408e-11 2.21504e-19
          24 4.28408e-11 4.28408e-11  2.1684e-19
          25 4.28408e-11 4.28408e-11 2.12459e-19
          26 4.28408e-11 4.28408e-11 2.08334e-19
          27 4.28408e-11 4.28408e-11 2.04439e-19
          28 4.28408e-11 4.28408e-11 2.59174e-19
          29 4.28408e-11 4.28408e-11 2.54666e-19
          30 4.28408e-11 4.28408e-11 2.50386e-19
          31 4.28408e-11 4.28408e-11  2.2031e-19
          32 4.28408e-11 4.28408e-11  2.1684e-19
          33 4.28408e-11 4.28408e-11  2.1353e-19
          34 4.28408e-11 4.28408e-11 1.82182e-19
          35 4.28408e-11 4.28408e-11 1.79561e-19
          36 4.28408e-11 4.28408e-11  1.4456e-19
          37 4.28408e-11 4.28408e-11 1.42593e-19
          38 4.28408e-11 4.28408e-11 1.40705e-19
          39 4.28408e-11 4.28408e-11 1.38889e-19
          40 4.28408e-11 4.28408e-11 1.37142e-19
