#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.16876     1.16876           0
           2     1.11911     1.14394   0.0175552
           3       1.129     1.13896   0.0123899
           4     1.11334     1.13255   0.0108218
           5      1.1213      1.1303  0.00888824
           6     1.10136     1.12548  0.00861722
           7     1.10398     1.12241  0.00791439
           8     1.10485     1.12021  0.00722292
           9     1.12583     1.12084  0.00644726
          10     1.11434     1.12019  0.00583522
          11     1.13059     1.12113  0.00538083
          12     1.09709     1.11913  0.00529221
          13     1.11468     1.11879  0.00489616
          14     1.11589     1.11858   0.0045508
          15     1.09892     1.11727  0.00443223
          16     1.11894     1.11737  0.00415645
          17     1.11272      1.1171  0.00392097
          18     1.09946     1.11612  0.00382365
          19     1.08495     1.11448  0.00395877
          20     1.11826     1.11467  0.00376533
          21     1.10745     1.11432  0.00360167
          22     1.08957      1.1132  0.00360947
          23     1.13778     1.11427  0.00360729
          24     1.11318     1.11422  0.00345727
          25     1.11491     1.11425  0.00331909
          26      1.1192     1.11444  0.00319689
          27     1.12372     1.11478  0.00309691
          28      1.1305     1.11535  0.00303677
          29     1.08834     1.11441  0.00307148
          30     1.11422     1.11441   0.0029691
          31     1.11922     1.11456  0.00287738
          32     1.12392     1.11486  0.00280226
          33     1.10662     1.11461  0.00272842
          34     1.10687     1.11438  0.00265764
          35     1.13092     1.11485   0.0026234
          36     1.12008       1.115  0.00255454
          37     1.13364      1.1155  0.00253473
          38     1.12183     1.11567   0.0024735
          39     1.08607     1.11491  0.00252383
          40      1.0963     1.11444  0.00250324
          41     1.09659     1.11401  0.00247978
          42     1.12052     1.11416  0.00242557
          43     1.11237     1.11412  0.00236952
          44     1.10396     1.11389   0.0023269
          45     1.11197     1.11385  0.00227558
          46     1.11885     1.11396  0.00222871
          47     1.11997     1.11408  0.00218497
          48     1.10377     1.11387  0.00214999
          49     1.10949     1.11378  0.00210797
          50     1.12042     1.11391  0.00206998
          51     1.12206     1.11407  0.00203556
          52     1.12121     1.11421  0.00200104
          53     1.11816     1.11428  0.00196467
          54     1.10581     1.11413  0.00193455
          55      1.0981     1.11384  0.00192119
          56     1.12335     1.11401  0.00189438
          57     1.09662      1.1137  0.00188554
          58     1.10269     1.11351  0.00186257
          59     1.12785     1.11375  0.00184679
          60     1.09619     1.11346  0.00183907
          61     1.11003      1.1134  0.00180978
          62     1.12802     1.11364  0.00179589
          63     1.12508     1.11382  0.00177654
          64     1.08437     1.11336  0.00180741
          65      1.1195     1.11346  0.00178207
          66      1.0923     1.11314  0.00178367
          67     1.09847     1.11292  0.00177042
          68     1.12621     1.11311  0.00175514
          69     1.13335     1.11341  0.00175405
          70     1.12958     1.11364  0.00174414
          71     1.11054     1.11359  0.00172012
          72     1.11571     1.11362  0.00169648
          73     1.10232     1.11347  0.00168029
          74     1.11594      1.1135  0.00165792
          75     1.09317     1.11323  0.00165782
          76     1.08565     1.11287  0.00167525
          77     1.11707     1.11292  0.00165438
          78     1.11852     1.11299  0.00163473
          79     1.11536     1.11302  0.00161431
          80     1.12151     1.11313  0.00159761
          81     1.11821     1.11319  0.00157912
          82     1.12217      1.1133  0.00156365
          83     1.09313     1.11306  0.00156359
          84       1.105     1.11296  0.00154791
          85     1.10171     1.11283  0.00153535
          86     1.12932     1.11302  0.00152942
          87     1.10434     1.11292   0.0015151
          88     1.09452     1.11271  0.00151225
          89     1.10788     1.11266  0.00149623
          90     1.12953     1.11285  0.00149131
          91     1.10088     1.11272  0.00148071
          92      1.1209      1.1128  0.00146728
          93     1.09559     1.11262  0.00146313
          94     1.09123     1.11239  0.00146516
          95     1.11161     1.11238  0.00144976
          96     1.09368     1.11219  0.00144768
          97     1.11333      1.1122  0.00143281
          98     1.10904     1.11217  0.00141855
          99     1.11108     1.11216  0.00140426
         100     1.11442     1.11218   0.0013904
