#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.77608    -3.77608           0
           2    -3.77662    -3.77635 0.000192504
           3    -3.77763    -3.77678 0.000371621
           4    -3.77661    -3.77674  0.00028096
           5    -3.77778    -3.77694 0.000291968
           6    -3.77518    -3.77665 0.000362616
           7    -3.77737    -3.77675 0.000324916
           8    -3.77606    -3.77666 0.000295692
           9    -3.77676    -3.77668 0.000263011
          10    -3.77757    -3.77676   0.0002514
          11    -3.77686    -3.77677 0.000228697
          12    -3.77595     -3.7767 0.000219666
          13    -3.77537     -3.7766 0.000225494
          14    -3.77741    -3.77666 0.000216704
          15    -3.77827    -3.77677 0.000227384
          16    -3.77918    -3.77692 0.000258527
          17    -3.77687    -3.77692 0.000243337
          18    -3.77611    -3.77687 0.000233856
          19    -3.77519    -3.77678 0.000237777
          20    -3.77836    -3.77686 0.000238603
          21    -3.77661    -3.77685  0.00022754
          22    -3.77527    -3.77678 0.000228248
          23    -3.77687    -3.77678  0.00021836
          24    -3.77747    -3.77681 0.000211157
          25    -3.77659     -3.7768 0.000202887
          26    -3.77728    -3.77682 0.000195932
          27    -3.77797    -3.77686 0.000193281
          28    -3.77795     -3.7769 0.000190257
          29    -3.77809    -3.77694 0.000188032
          30    -3.77713    -3.77695 0.000181865
          31    -3.77626    -3.77693  0.00017734
          32    -3.77532    -3.77688 0.000178728
          33    -3.77646    -3.77686 0.000173749
          34    -3.77542    -3.77682 0.000173781
          35    -3.77862    -3.77687 0.000176254
          36    -3.77621    -3.77685  0.00017233
          37    -3.77726    -3.77687 0.000168015
          38    -3.77744    -3.77688 0.000164268
          39    -3.77602    -3.77686 0.000161541
          40    -3.77402    -3.77679 0.000172424
          41    -3.77637    -3.77678 0.000168513
          42     -3.7779     -3.7768 0.000166605
          43    -3.77709    -3.77681 0.000162863
          44    -3.77566    -3.77678 0.000161228
          45    -3.77637    -3.77678 0.000157905
          46      -3.777    -3.77678  0.00015455
          47    -3.77592    -3.77676 0.000152342
          48    -3.77649    -3.77676  0.00014927
          49    -3.77502    -3.77672 0.000150356
          50     -3.7775    -3.77674 0.000148152
          51    -3.77785    -3.77676 0.000146836
          52    -3.77735    -3.77677 0.000144457
          53    -3.77873    -3.77681  0.00014639
          54     -3.7764     -3.7768 0.000143869
          55    -3.77516    -3.77677 0.000144319
          56    -3.77853     -3.7768 0.000145144
          57    -3.77926    -3.77684 0.000148894
          58    -3.77779    -3.77686 0.000147215
          59    -3.77688    -3.77686 0.000144721
          60    -3.77594    -3.77685 0.000143123
          61    -3.77572    -3.77683 0.000141967
          62    -3.77699    -3.77683   0.0001397
          63    -3.77694    -3.77683 0.000137494
          64    -3.77693    -3.77683 0.000135354
          65    -3.77822    -3.77685  0.00013494
          66    -3.77576    -3.77684 0.000133911
          67     -3.7786    -3.77686  0.00013448
          68    -3.77831    -3.77689 0.000134173
          69    -3.77625    -3.77688 0.000132539
          70    -3.77641    -3.77687 0.000130814
          71    -3.77825    -3.77689 0.000130402
          72    -3.77666    -3.77689  0.00012863
          73    -3.77764     -3.7769 0.000127279
          74    -3.77854    -3.77692 0.000127483
          75     -3.7755     -3.7769 0.000127172
          76     -3.7745    -3.77687 0.000129354
          77    -3.77763    -3.77688  0.00012805
          78    -3.77644    -3.77687 0.000126529
          79    -3.77708    -3.77687 0.000124955
          80    -3.77852     -3.7769 0.000125076
          81    -3.77723     -3.7769 0.000123598
          82    -3.77696     -3.7769 0.000122093
          83    -3.77544    -3.77688 0.000121884
          84    -3.77904    -3.77691 0.000123099
          85    -3.77784    -3.77692 0.000122139
          86    -3.77981    -3.77695 0.000125266
          87    -3.77843    -3.77697 0.000124972
          88    -3.77526    -3.77695 0.000125056
          89    -3.77686    -3.77695 0.000123655
          90    -3.77507    -3.77693 0.000124027
          91    -3.77461     -3.7769 0.000125249
          92    -3.77745    -3.77691 0.000124029
          93    -3.77736    -3.77691 0.000122789
          94    -3.77774    -3.77692 0.000121796
          95    -3.77659    -3.77692 0.000120566
          96    -3.77583    -3.77691 0.000119839
          97    -3.77812    -3.77692 0.000119251
          98    -3.77881    -3.77694 0.000119587
          99    -3.77703    -3.77694 0.000118382
         100    -3.77821    -3.77695 0.000117874
