# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788 7.00634e-05 3.80403e-06
    0.846438  0.00339423 2.56195e-05
    0.872088   0.0421565 8.78507e-05
    0.897737    0.215412 0.000191175
    0.923387    0.611019 0.000308032
    0.949037      1.1629 0.000405321
    0.974686     1.69618 0.000470434
     1.00034      2.0676 0.000504028
     1.02599     2.24532 0.000514916
     1.05164     2.26246 0.000507565
     1.07728     2.17282 0.000490145
     1.10293     2.02789 0.000466097
     1.12858      1.8614  0.00043837
     1.15423     1.69549  0.00041055
     1.17988     1.53899 0.000385081
     1.20553     1.40119   0.0003598
     1.23118     1.27914 0.000337428
     1.25683     1.17462 0.000317021
     1.28248     1.08478 0.000298242
     1.30813     1.01007 0.000282419
     1.33378    0.945692 0.000267731
     1.35943    0.893067 0.000255897
     1.38508    0.849195 0.000244716
     1.41073    0.814628 0.000235163
     1.43638    0.785963 0.000227419
     1.46203    0.764363 0.000220448
     1.48768    0.749036 0.000215089
     1.51333    0.739669  0.00020994
     1.53898    0.734841  0.00020621
     1.56463    0.735662 0.000203044
     1.59028    0.741227  0.00020043
     1.61593    0.750793 0.000198022
     1.64158    0.764967 0.000196489
     1.66723    0.784322 0.000196355
     1.69288    0.807456 0.000196375
     1.71853    0.832914 0.000196656
     1.74418    0.863065 0.000197022
     1.76983    0.894061 0.000197607
     1.79547    0.928139 0.000198926
     1.82112    0.961889  0.00019955
     1.84677    0.997564 0.000200239
     1.87242     1.03135 0.000200016
     1.89807     1.06416 0.000200469
     1.92372     1.09342 0.000200163
     1.94937     1.11876 0.000199466
     1.97502     1.13901 0.000198596
     2.00067     1.15186  0.00019683
     2.02632     1.15868 0.000194743
     2.05197     1.15931 0.000192814
     2.07762     1.15424 0.000191148
     2.10327     1.14327 0.000187674
     2.12892     1.12912 0.000184914
     2.15457     1.11187 0.000181438
     2.18022     1.09347 0.000177794
     2.20587     1.07346 0.000174455
     2.23152     1.05353 0.000171143
     2.25717     1.03382 0.000167334
     2.28282     1.01592 0.000164115
     2.30847    0.998571 0.000160853
     2.33412    0.983491 0.000157768
     2.35977    0.969863 0.000155191
     2.38542    0.958411 0.000152395
     2.41107    0.948754 0.000149952
     2.43672    0.941604   0.0001478
     2.46237    0.936065 0.000145526
     2.48802    0.928938 0.000143576
     2.51366    0.923984 0.000141721
     2.53931    0.925139 0.000140278
