#   N_BLOCK:  ACCEPTANCE:
           1    0.520481
           2    0.514662
           3    0.514049
           4    0.513576
           5    0.512559
           6     0.51162
           7    0.511742
           8    0.512162
           9    0.511953
          10     0.51206
          11    0.511899
          12    0.511823
          13    0.511681
          14    0.511624
          15    0.511234
          16    0.511198
          17    0.511397
          18    0.511452
          19    0.511514
          20    0.511302
          21    0.511246
          22    0.511248
          23    0.511221
          24    0.511235
          25    0.510908
          26    0.510842
          27    0.510753
          28    0.510891
          29    0.510838
          30    0.510969
          31    0.510879
          32    0.510891
          33    0.510812
          34    0.510849
          35    0.510867
          36    0.510789
          37    0.510799
          38    0.510814
          39    0.510937
          40    0.510902
          41    0.510847
          42     0.51087
          43    0.510908
          44    0.510977
          45    0.510934
          46    0.510899
          47     0.51093
          48     0.51093
          49    0.510846
          50    0.510761
          51    0.510792
          52    0.510704
          53    0.510672
          54    0.510701
          55    0.510692
          56    0.510709
          57     0.51068
          58    0.510653
          59    0.510661
          60    0.510594
          61    0.510583
          62    0.510572
          63    0.510577
          64    0.510596
          65    0.510547
          66     0.51051
          67    0.510461
          68     0.51049
          69     0.51049
          70    0.510437
          71    0.510464
          72    0.510463
          73    0.510506
          74    0.510471
          75    0.510491
          76    0.510552
          77    0.510575
          78    0.510568
          79    0.510534
          80     0.51051
          81     0.51048
          82    0.510505
          83    0.510499
          84    0.510477
          85     0.51045
          86    0.510437
          87    0.510404
          88    0.510395
          89    0.510425
          90    0.510447
          91    0.510442
          92    0.510431
          93    0.510398
          94    0.510396
          95    0.510348
          96     0.51036
          97    0.510378
          98    0.510339
          99    0.510348
         100    0.510336
