# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438 1.16714e-05  5.8809e-06
    0.872088  0.00125728  5.6565e-05
    0.897737   0.0243232 0.000251771
    0.923387    0.165119 0.000785342
    0.949037    0.563425  0.00180713
    0.974686     1.20232  0.00252646
     1.00034     1.86243  0.00297724
     1.02599     2.33322  0.00254603
     1.05164     2.54895  0.00227839
     1.07728     2.54525  0.00207394
     1.10293     2.40283  0.00235487
     1.12858     2.20009  0.00218846
     1.15423     1.97392  0.00209415
     1.17988      1.7563  0.00198842
     1.20553     1.56302  0.00199151
     1.23118     1.39174  0.00189424
     1.25683     1.24771  0.00176141
     1.28248     1.12554  0.00163986
     1.30813     1.02613  0.00145194
     1.33378     0.94322  0.00126719
     1.35943    0.874345  0.00118376
     1.38508    0.820053  0.00114645
     1.41073     0.77647  0.00100395
     1.43638    0.739003  0.00110623
     1.46203     0.71026  0.00108519
     1.48768    0.690787  0.00115082
     1.51333    0.677439  0.00110048
     1.53898    0.670303 0.000980649
     1.56463    0.669608 0.000963849
     1.59028    0.674295 0.000981145
     1.61593    0.684986  0.00102648
     1.64158    0.701683   0.0011136
     1.66723    0.722498  0.00116509
     1.69288    0.749138  0.00101516
     1.71853    0.779244  0.00104162
     1.74418     0.81435  0.00102544
     1.76983    0.852346  0.00106512
     1.79547     0.89226  0.00103593
     1.82112    0.935778  0.00114276
     1.84677    0.976318  0.00119632
     1.87242     1.01714  0.00129609
     1.89807     1.05774  0.00121561
     1.92372     1.09484  0.00111482
     1.94937     1.13138  0.00118853
     1.97502     1.16149  0.00107072
     2.00067     1.18564  0.00103855
     2.02632     1.20326  0.00100162
     2.05197      1.2138  0.00101469
     2.07762     1.21409 0.000879669
     2.10327     1.20881 0.000968363
     2.12892     1.19567 0.000965473
     2.15457     1.17492  0.00113297
     2.18022     1.15115 0.000990944
     2.20587     1.12493  0.00104406
     2.23152     1.09693  0.00103442
     2.25717     1.06737 0.000971612
     2.28282     1.03985  0.00102764
     2.30847     1.01363  0.00100242
     2.33412    0.988516 0.000996186
     2.35977    0.967714 0.000982768
     2.38542    0.948615 0.000928972
     2.41107    0.932449 0.000857493
     2.43672    0.918838 0.000883224
     2.46237    0.909254 0.000879049
     2.48802    0.895525 0.000809849
     2.51366     0.88541 0.000761544
     2.53931    0.885855 0.000839476
