#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -5.5146     -5.5146           0
           2    -5.44096    -5.47778   0.0260371
           3    -5.47407    -5.47654   0.0173875
           4    -5.48585    -5.47887   0.0131952
           5    -5.46611    -5.47632   0.0108002
           6    -5.46278    -5.47406   0.0092328
           7    -5.47143    -5.47369  0.00792148
           8    -5.48974    -5.47569  0.00718107
           9    -5.47852    -5.47601  0.00639006
          10    -5.46001    -5.47441  0.00594787
          11    -5.46785    -5.47381  0.00543698
          12    -5.47261    -5.47371  0.00498482
          13    -5.47042    -5.47346   0.0046078
          14    -5.46202    -5.47264  0.00435054
          15    -5.42342    -5.46936  0.00515129
          16    -5.45903    -5.46871  0.00486961
          17    -5.51004    -5.47114  0.00515428
          18    -5.45905    -5.47047  0.00491151
          19    -5.48897    -5.47145  0.00474856
          20    -5.43736    -5.46974  0.00480717
          21    -5.45944    -5.46925  0.00460321
          22    -5.47313    -5.46943  0.00439735
          23    -5.47265    -5.46957  0.00420839
          24    -5.46833    -5.46952  0.00403335
          25    -5.43941    -5.46831  0.00404784
          26    -5.45105    -5.46765  0.00394623
          27    -5.46556    -5.46757  0.00380083
          28    -5.46248    -5.46739  0.00366943
          29    -5.45307    -5.46689  0.00357596
          30    -5.48485    -5.46749   0.0035065
          31    -5.46996    -5.46757  0.00339429
          32    -5.47125    -5.46769  0.00329017
          33     -5.4501    -5.46716  0.00323334
          34    -5.44884    -5.46662   0.0031828
          35    -5.47738    -5.46692  0.00310667
          36    -5.44334    -5.46627  0.00308866
          37    -5.44951    -5.46582  0.00303821
          38    -5.48431     -5.4663  0.00299698
          39    -5.48818    -5.46686  0.00297218
          40    -5.46616    -5.46685  0.00289792
          41    -5.45431    -5.46654  0.00284332
          42    -5.47001    -5.46662  0.00277682
          43    -5.49046    -5.46718  0.00276704
          44    -5.49015     -5.4677  0.00275296
          45    -5.45923    -5.46751  0.00269821
          46    -5.46787    -5.46752  0.00263956
          47    -5.47659    -5.46771  0.00259045
          48     -5.4837    -5.46805  0.00255782
          49    -5.45886    -5.46786  0.00251248
          50    -5.43537    -5.46721  0.00254484
          51    -5.46791    -5.46722  0.00249498
          52    -5.43762    -5.46665  0.00251108
          53    -5.47922    -5.46689  0.00247487
          54    -5.46628    -5.46688  0.00242907
          55    -5.45554    -5.46667  0.00239364
          56    -5.46492    -5.46664   0.0023511
          57    -5.47308    -5.46675  0.00231256
          58    -5.45519    -5.46655  0.00228127
          59    -5.43531    -5.46603  0.00230324
          60    -5.45533    -5.46585  0.00227175
          61    -5.47831    -5.46605  0.00224368
          62    -5.45899    -5.46594  0.00221038
          63     -5.4629    -5.46589  0.00217581
          64      -5.499    -5.46641  0.00220245
          65    -5.43813    -5.46597  0.00221111
          66    -5.45388    -5.46579  0.00218518
          67    -5.43591    -5.46534  0.00219759
          68    -5.46119    -5.46528  0.00216612
          69    -5.48017     -5.4655  0.00214544
          70    -5.45427    -5.46534  0.00212078
          71    -5.50149    -5.46585  0.00215116
          72    -5.45826    -5.46574  0.00212387
          73    -5.48687    -5.46603   0.0021144
          74    -5.46095    -5.46596  0.00208694
          75    -5.47147    -5.46603  0.00206041
          76    -5.46652    -5.46604  0.00203331
          77    -5.48641    -5.46631  0.00202405
          78    -5.48843    -5.46659  0.00201788
          79    -5.46004    -5.46651  0.00199404
          80    -5.47299    -5.46659  0.00197076
          81    -5.45304    -5.46642  0.00195351
          82     -5.4602    -5.46634  0.00193116
          83     -5.4741    -5.46644  0.00191015
          84    -5.46039    -5.46637  0.00188877
          85    -5.44649    -5.46613  0.00188097
          86    -5.45088    -5.46595  0.00186744
          87    -5.45378    -5.46581  0.00185121
          88    -5.44771    -5.46561  0.00184156
          89    -5.49124     -5.4659  0.00184325
          90    -5.45901    -5.46582  0.00182436
          91    -5.44845    -5.46563  0.00181427
          92    -5.46094    -5.46558  0.00179527
          93    -5.43938     -5.4653  0.00179792
          94    -5.47522     -5.4654  0.00178189
          95    -5.43674     -5.4651   0.0017885
          96    -5.49504    -5.46541  0.00179685
          97    -5.45857    -5.46534  0.00177971
          98    -5.42346    -5.46491  0.00181214
          99    -5.47454    -5.46501  0.00179645
         100    -5.47472    -5.46511   0.0017811
