#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.09911     1.09911           0
           2     1.54288       1.321    0.156895
           3     1.32444     1.32214    0.104601
           4     1.28513     1.31289   0.0788589
           5     1.42834     1.33598   0.0663815
           6     1.43915     1.35317   0.0575017
           7      1.3816     1.35724   0.0494304
           8     1.28243     1.34788   0.0441272
           9      1.2886      1.3413   0.0397127
          10     1.41928      1.3491    0.036499
          11     1.34361      1.3486   0.0331843
          12     1.34436     1.34824   0.0304208
          13     1.35775     1.34898   0.0280896
          14     1.40239     1.35279    0.026341
          15     1.59459     1.36891   0.0291025
          16     1.41021     1.37149   0.0273978
          17      1.1783     1.36013   0.0280443
          18     1.41467     1.36316   0.0266494
          19     1.25373      1.3574   0.0258617
          20     1.49774     1.36442   0.0255028
          21     1.40118     1.36617   0.0243484
          22     1.32301      1.3642   0.0233205
          23     1.35788     1.36393   0.0223082
          24     1.40496     1.36564   0.0214441
          25     1.54883     1.37297   0.0218024
          26     1.47704     1.37697   0.0213281
          27     1.38727     1.37735   0.0205416
          28     1.37557     1.37729   0.0198081
          29     1.43693     1.37934   0.0192315
          30     1.27269     1.37579   0.0189162
          31     1.39254     1.37633   0.0183138
          32     1.34973      1.3755   0.0177603
          33     1.47212     1.37843   0.0174618
          34     1.45662     1.38073    0.017099
          35     1.37029     1.38043    0.016613
          36     1.50304     1.38383    0.016497
          37     1.42068     1.38483   0.0160811
          38     1.33647     1.38356   0.0157082
          39     1.25101     1.38016   0.0156688
          40     1.45515     1.38203   0.0153889
          41     1.44919     1.38367   0.0151004
          42     1.42862     1.38474   0.0147788
          43     1.28375     1.38239   0.0146205
          44     1.24918     1.37936   0.0145983
          45     1.35197     1.37876   0.0142866
          46     1.35793      1.3783   0.0139832
          47     1.28774     1.37638   0.0138178
          48      1.3075     1.37494   0.0136042
          49     1.44902     1.37645   0.0134103
          50     1.54733     1.37987   0.0135706
          51     1.33878     1.37907   0.0133284
          52     1.53711      1.3821   0.0134141
          53     1.32222     1.38097   0.0132085
          54     1.36926     1.38076   0.0129657
          55     1.42858     1.38163   0.0127591
          56     1.36107     1.38126   0.0125365
          57      1.3282     1.38033   0.0123511
          58     1.42671     1.38113    0.012164
          59     1.48115     1.38282   0.0120754
          60     1.48877     1.38459   0.0120025
          61     1.33587     1.38379   0.0118323
          62     1.40636     1.38416   0.0116471
          63     1.40309     1.38446   0.0114661
          64     1.24763     1.38232   0.0114845
          65      1.5267     1.38454   0.0115206
          66     1.44356     1.38543   0.0113807
          67     1.55238     1.38793   0.0114804
          68     1.39544     1.38804   0.0113121
          69     1.29692     1.38672    0.011225
          70     1.42661     1.38729   0.0110791
          71      1.2525     1.38539   0.0110845
          72     1.42818     1.38598   0.0109465
          73      1.2537     1.38417   0.0109455
          74     1.46101     1.38521   0.0108467
          75     1.33993      1.3846   0.0107189
          76      1.3497     1.38414   0.0105877
          77     1.26622     1.38261   0.0105603
          78     1.29321     1.38147    0.010487
          79     1.45798     1.38244   0.0103989
          80     1.37575     1.38235   0.0102692
          81     1.42764     1.38291   0.0101576
          82     1.40512     1.38318   0.0100374
          83      1.3411     1.38267  0.00992924
          84     1.38787     1.38274  0.00981123
          85     1.50405     1.38416  0.00979906
          86     1.47312      1.3852  0.00973955
          87      1.4627     1.38609  0.00966825
          88     1.46738     1.38701  0.00960242
          89     1.28912     1.38591  0.00955732
          90     1.40395     1.38611  0.00945323
          91     1.49419      1.3873  0.00942365
          92      1.4119     1.38757  0.00932502
          93     1.53022      1.3891  0.00935006
          94     1.34994     1.38869  0.00925986
          95     1.55308     1.39042  0.00932269
          96     1.24903     1.38894  0.00934118
          97     1.41075     1.38917  0.00924759
          98     1.61681     1.39149  0.00944047
          99     1.33822     1.39095  0.00936043
         100     1.33712     1.39041   0.0092823
