#      step        mu        sigma
0            0.565829             2.62018
1            0.137029             1.56269
2             0.19022             2.37261
3           -0.597369             1.86866
4            0.196811             2.48477
5           -0.465988             1.55316
6            0.185542             1.31919
7           -0.739797              1.3466
8             0.29308             1.24017
9           0.0632937             1.41392
10            0.406155             1.46845
11            0.362439            0.824922
12            0.364567            0.955121
13          -0.0520815             1.28151
14            0.430984            0.823076
15            0.329542            0.910201
16            0.250265             1.32998
17           0.0467418            0.778816
18            0.246315            0.706513
19           -0.109963             0.51052
20            0.324434             1.02608
21            0.271274            0.884426
22            0.360601            0.535408
23            0.233524             1.17859
24            0.178443            0.720038
25            0.166657            0.571854
26            0.196955            0.695723
27           0.0406884            0.341167
28            0.219875            0.946683
29            0.127136            0.911506
30           0.0889673             0.88523
31            0.103787            0.578307
32           0.0897824             1.24156
33            0.103592             1.08385
34           -0.663141             1.13749
35            0.148167             0.98543
36          0.00315727             0.92976
37          0.00357146            0.860514
38            0.125382            0.948784
39             0.13714             1.16064
40            0.243624            0.853346
41            0.286717            0.747279
42            0.657978             1.12741
43            0.174838            0.449372
44            0.371669            0.655765
45            0.334766            0.645893
46            0.299956            0.814863
47            0.311159            0.677308
48            0.323898            0.732666
49            0.228748            0.759409
50            0.220987            0.890372
51            0.184197            0.704234
52            0.297165             1.24746
53            0.203208             1.09477
54            0.385682            0.896223
55            0.395684             1.04133
56            0.435873             1.12684
57            0.478622             1.08778
58            0.558526            0.899505
59            0.617458            0.798074
60            0.837073            0.909162
61            0.608843            0.795708
62            0.561452            0.787662
63            0.516612            0.867358
64             0.46281            0.679591
65            0.443377            0.585737
66            0.368916            0.635607
67            0.286576            0.778679
68            0.280607            0.677951
69            0.402167            0.939119
70            0.435211              1.0324
71            0.627355            0.892221
72            0.695018            0.978938
73            0.728302             1.06792
74            0.617216            0.914988
75            0.525246            0.927296
76            0.560524            0.818749
77            0.576697            0.736933
78            0.633433            0.789291
79            0.582662            0.801048
80            0.657264            0.680011
81            0.797629            0.469414
82            0.604266            0.513682
83            0.606399             0.53736
84            0.501702            0.617232
85             0.68048            0.570648
86            0.642235             0.61784
87            0.496268            0.602682
88            0.533404            0.725177
89            0.498569            0.649903
90            0.606622            0.585844
91            0.638974            0.527557
92            0.540152            0.490545
93            0.652802            0.447218
94            0.467932            0.484216
95             0.52577            0.511796
96            0.535895            0.425388
97            0.498565            0.632128
98            0.447236            0.545023
99            0.420804             0.64401
100            0.573496            0.570787
101            0.631512            0.613109
102            0.658927            0.568623
103            0.631257            0.591774
104            0.683189            0.629812
105            0.608363            0.621182
106            0.702251            0.756879
107              0.7509            0.763559
108            0.701078            0.752512
109            0.639436            0.852567
110            0.591004            0.653468
111             0.67529            0.768525
112            0.639115            0.662147
113            0.635088            0.704374
114             0.68241            0.662281
115            0.605789            0.656459
116            0.640156            0.534808
117            0.577349            0.500086
118            0.576777            0.512324
119             0.63191            0.640733
120            0.759684            0.518665
121            0.816325            0.493967
122            0.671031            0.467237
123            0.716593            0.475608
124            0.718797            0.424811
125             0.71408            0.547371
126            0.694388            0.512007
127            0.766384            0.575692
128            0.847098            0.710798
129             0.70432            0.569584
130            0.748669            0.568106
131            0.738708            0.549644
132            0.735832            0.594714
133            0.690677            0.467546
134            0.631618            0.458054
135            0.735154            0.386887
136            0.755603            0.477462
137            0.935742            0.458059
138            0.727701            0.433959
139            0.835274            0.480959
140            0.735418            0.499553
141             0.72513             0.42192
142            0.830478            0.503301
143            0.837281            0.442925
144            0.905152             0.49584
145             0.92125            0.498355
146             1.06149            0.451899
147            0.839821            0.501499
148            0.867921             0.43278
149            0.854328             0.50539
150            0.890241             0.45526
151            0.872904            0.469007
152            0.897194            0.459446
153            0.859357            0.582099
154            0.766956            0.672619
155            0.784179            0.661091
156            0.766403            0.694203
157            0.829513            0.627364
158            0.803241            0.633229
159            0.742475            0.642829
160            0.729306            0.556242
161            0.672252            0.519973
162            0.873181            0.652218
163            0.876534            0.614774
164            0.963028            0.693251
165            0.837691            0.570772
166            0.892957            0.624089
167            0.869287            0.521663
168            0.888575            0.621556
169            0.810383            0.567886
170              0.7312            0.602971
171            0.677269             0.63545
172            0.679538            0.616989
173            0.675388            0.647974
174            0.693837            0.644746
175            0.730038            0.686786
176             0.73977            0.725937
177            0.765767            0.795199
178            0.738459            0.850709
179            0.718694            0.692542
180            0.828307            0.668161
181            0.818229            0.636126
182            0.781977            0.641167
183            0.821124            0.700929
184            0.740964            0.651523
185            0.784802            0.680022
186            0.740041            0.675453
187            0.712948            0.639552
188            0.672618             0.68008
189            0.707563            0.733882
190            0.697231            0.752326
191            0.764741            0.582677
192            0.733742            0.571843
193            0.755266            0.600078
194            0.755469            0.661422
195            0.748721            0.629112
196            0.740737            0.604922
