#      step        H        error
0             29.1977            0.854487
1             1.55766           0.0755627
2             18.2439            0.676865
3             6.19889            0.192336
4             20.9455            0.638025
5             1.94955           0.0842278
6            0.291376           0.0362687
7             1.41542           0.0656729
8           0.0608218           0.0231377
9            0.638064           0.0458258
10             1.22055           0.0643613
11           -0.225166          0.00610187
12           -0.256313          0.00787448
13            0.109559           0.0247728
14           -0.255431          0.00758141
15           -0.258113          0.00623017
16            0.363168           0.0388284
17          -0.0702143           0.0069158
18         -0.00851068          0.00834405
19            0.635101           0.0161112
20           -0.245621           0.0078304
21            -0.23644          0.00620414
22             0.14331          0.00941691
23          -0.0402955           0.0183394
24         -0.00201007          0.00859451
25            0.350804           0.0117662
26           0.0249279           0.0075707
27             1.94934           0.0440264
28            -0.24268          0.00795529
29           -0.235238          0.00684579
30           -0.202215          0.00718098
31            0.398169           0.0130915
32           0.0666339           0.0250485
33           -0.189006           0.0162605
34            0.228908           0.0259823
35           -0.256443          0.00690053
36           -0.229301          0.00646166
37           -0.166319          0.00662896
38           -0.238236          0.00791977
39           -0.120899           0.0156279
40           -0.198288          0.00574475
41           -0.116362          0.00775984
42            0.244711           0.0333953
43            0.832569           0.0185152
44           -0.053169          0.00825335
45         -0.00890181          0.00892231
46           -0.192554           0.0084984
47          -0.0373473          0.00887552
48           -0.123442          0.00711858
49          -0.0881981          0.00741112
50           -0.222822          0.00741824
51           0.0250777          0.00877128
52           0.0904987           0.0231168
53           -0.186701           0.0121814
54           -0.255537            0.006969
55           -0.200459           0.0115034
56          -0.0852312           0.0169657
57            -0.11825           0.0142926
58            -0.26018          0.00865535
59            -0.31962          0.00657745
60          -0.0731042            0.014334
61           -0.323513          0.00581099
62           -0.300075          0.00562626
63           -0.259424          0.00743581
64           -0.181175          0.00566721
65          -0.0747467          0.00748169
66          -0.0276815          0.00705936
67           -0.145918          0.00631965
68         -0.00555014          0.00822355
69           -0.260742          0.00784511
70           -0.199395           0.0120408
71           -0.250906           0.0102811
72           -0.131996           0.0112396
73            0.146652           0.0251722
74           -0.246536          0.00830465
75           -0.253539          0.00972587
76           -0.302623          0.00638506
77           -0.306517          0.00500913
78            -0.32081          0.00666453
79           -0.304032          0.00581556
80           -0.378872          0.00348444
81           -0.169383            0.009422
82           -0.248267          0.00522554
83           -0.270627          0.00511509
84           -0.187477          0.00597688
85            -0.38438          0.00386633
86           -0.362692          0.00357054
87           -0.170267          0.00516529
88           -0.276935          0.00547412
89           -0.218201          0.00572906
90           -0.310113          0.00372844
91            -0.30195          0.00523114
92           -0.129475          0.00729264
93             -0.1065           0.0103422
94           0.0104222          0.00698039
95           -0.141137          0.00621592
96           0.0452967           0.0102337
97           -0.194666          0.00520141
98          -0.0253038          0.00718336
99           -0.105395          0.00759792
100           -0.259499          0.00407897
101           -0.346466          0.00345781
102           -0.357564          0.00342559
103            -0.34795          0.00361152
104           -0.396673          0.00277705
105           -0.326726          0.00451182
106           -0.354624          0.00664974
107           -0.352578          0.00633542
108           -0.355329          0.00589542
109           -0.289541          0.00849005
110           -0.326376          0.00433514
111           -0.350717          0.00508336
112           -0.360812          0.00520706
113           -0.352291          0.00415537
114           -0.392144          0.00351287
115            -0.33453          0.00397163
116           -0.310305          0.00489944
117           -0.198633          0.00603471
118           -0.215132          0.00643116
119           -0.355064          0.00349155
120           -0.343073          0.00580273
121           -0.264831          0.00737491
122           -0.201254          0.00920802
123           -0.219962          0.00961353
124           0.0570749           0.0147076
125           -0.384267          0.00438268
126           -0.326434          0.00586073
127           -0.425469            0.003218
128           -0.362946          0.00813284
129           -0.400153          0.00363082
130           -0.413562          0.00376332
131           -0.398054          0.00417208
132            -0.43201          0.00241288
133           -0.174465          0.00949979
134           -0.140028          0.00939634
135            0.347387           0.0194536
136            -0.21741          0.00889209
137          -0.0375129           0.0102962
138         -0.00399976           0.0137103
139            -0.21407           0.0091981
140           -0.304973          0.00722555
141           0.0601557           0.0137298
142             -0.2927          0.00693602
143          -0.0324734          0.00986237
144           -0.216388          0.00760012
145           -0.211616          0.00683302
146           0.0860198          0.00900795
147           -0.276743           0.0079239
148           0.0560966           0.0137827
149           -0.294906          0.00634945
150          -0.0678425           0.0109124
151           -0.137415           0.0101083
152          -0.0794808           0.0113931
153           -0.417006          0.00310611
154           -0.419173          0.00367271
155           -0.436318           0.0035424
156            -0.41109          0.00568978
157           -0.442089          0.00291373
158           -0.437436          0.00327871
159           -0.430723          0.00236854
160            -0.39627          0.00389191
161           -0.320509          0.00538158
162           -0.406642          0.00451928
163           -0.425746          0.00316589
164           -0.263681          0.00794043
165            -0.41571          0.00323877
166           -0.402505          0.00429943
167           -0.320791          0.00697999
168           -0.415279          0.00353745
169           -0.428961          0.00393534
170           -0.421871          0.00241753
171           -0.387457          0.00319612
172           -0.397235          0.00284892
173           -0.395862          0.00271575
174           -0.405393          0.00270155
175           -0.405318          0.00463436
176           -0.381751          0.00415988
177            -0.30577          0.00808288
178           -0.272788           0.0111987
179           -0.402473          0.00329115
180           -0.422814           0.0041939
181           -0.440865           0.0029859
182           -0.438461          0.00236576
183            -0.39391          0.00513599
184            -0.42496          0.00269606
185           -0.416761          0.00395011
186           -0.414051          0.00356224
187           -0.417503          0.00248705
188           -0.379146          0.00349969
189           -0.371645          0.00567516
190           -0.353903           0.0059581
191           -0.431239          0.00310542
192           -0.418098          0.00392652
193           -0.429774          0.00264799
194           -0.423642          0.00405954
195            -0.43209          0.00314987
196           -0.429646          0.00251386
197            -0.43577          0.00263173
198           -0.405374          0.00333073
199           -0.426716          0.00277239
200           -0.430613          0.00264948
201           -0.417403          0.00373619
202           -0.436584          0.00286335
203            -0.40632          0.00295074
204           -0.384176          0.00415995
205           -0.373492          0.00323789
206           -0.351711          0.00385136
207           -0.302389          0.00450084
208           -0.310805          0.00510553
209           -0.358352          0.00359662
210           -0.359655          0.00277337
211           -0.400821          0.00344138
212           -0.409065          0.00471499
213           -0.372015          0.00459688
214           -0.414036          0.00339898
215           -0.431965          0.00288753
216           -0.417843          0.00276535
217           -0.404742          0.00462759
218           -0.404369           0.0041156
219           -0.418756          0.00419309
220           -0.409291          0.00431735
221            -0.40912          0.00445613
222           -0.381002          0.00660206
223           -0.338251          0.00888403
224           -0.387608          0.00504888
225           -0.436471          0.00258899
226           -0.439614          0.00320393
227           -0.435196          0.00348559
228           -0.407064          0.00374781
229           -0.402021          0.00525554
230           -0.427625          0.00337173
231           -0.408508          0.00426291
232           -0.418085          0.00341312
233           -0.421343          0.00279069
234           -0.391081          0.00420643
235           -0.406551          0.00314184
236           -0.445745          0.00249361
237           -0.443322          0.00306683
238           -0.411224          0.00370056
239           -0.440835          0.00272648
240           -0.417288          0.00493241
241           -0.401278          0.00571124
242           -0.402594          0.00445929
243           -0.427101          0.00384667
244           -0.435413           0.0031681
245           -0.436277          0.00273406
246            -0.38273          0.00511525
247           -0.409615          0.00405139
248           -0.434419          0.00285407
249           -0.438174          0.00231429
250           -0.415537          0.00253304
251           -0.396174          0.00320225
252           -0.344488          0.00431396
253           -0.274257          0.00960952
254           -0.356252           0.0047487
255           -0.432828          0.00267551
256           -0.418742          0.00262392
257           -0.403868          0.00313704
258           -0.423402          0.00269186
259           -0.420267          0.00303121
260           -0.433227          0.00337808
261           -0.422097          0.00413013
262           -0.394309          0.00496145
263           -0.377452          0.00462554
264           -0.395763          0.00532519
265           -0.378298           0.0068013
266           -0.392738          0.00466454
267            -0.35249          0.00723656
268           -0.369571          0.00519225
269           -0.340209          0.00821671
